CustomerID,CustomerName,Region,City,Phone,CustomerSince
CUS-00001,Rabiu Ventures,North-Central,Minna,08071308842,2021-04-30
CUS-00002,Garba Hotel,South-West,Badagry,08019369750,2022-11-14
CUS-00003,Uyo Hotel,South-South,Asaba,07047962005,2020-05-07
CUS-00004,Epe Ventures,South-West,Alimosho,08069934576,2021-05-25
CUS-00005,Hassan Hotel,South-West,Mushin,09053188224,2019-07-18
CUS-00006,Abeokuta Cash & Carry,South-West,Yaba,09015858241,2022-08-20
CUS-00007,Lokoja Cash & Carry,North-Central,Gwarinpa,09014968688,2023-09-17
CUS-00008,Garki Ventures,North-Central,Garki,09012059919,2020-05-14
CUS-00009,Surulere Stores,South-West,Ibadan North,08155440919,2020-12-03
CUS-00010,Jabi Superstores,North-Central,Jos,09052501540,2020-11-26
CUS-00011,Jos Supermarket,North-Central,Makurdi,07041510328,2020-11-17
CUS-00012,Ogunleye Foods,North-Central,Garki,09023212812,2020-02-26
CUS-00013,Minna Mart,North-Central,Lugbe,07016172803,2022-08-07
CUS-00014,Chukwu Cash & Carry,South-South,Eleme,08081291936,2022-02-09
CUS-00015,Gwarinpa Mart,North-Central,Garki,09093176117,2020-08-02
CUS-00016,Surulere Provisions,South-West,Ibadan North,08171682508,2022-12-27
CUS-00017,Minna Wholesale,North-Central,Jos,08019913576,2021-12-10
CUS-00018,Asaba Superstores,South-South,Calabar,08171315464,2019-09-05
CUS-00019,Alimosho Ventures,South-West,Lekki,08061185849,2021-03-18
CUS-00020,Abdullahi Wholesale,South-West,Ikeja,09046840133,2024-05-16
CUS-00021,Wuse Enterprises,North-Central,Minna,08140885967,2021-01-05
CUS-00022,Lawal Enterprises,South-South,Asaba,08094322033,2023-11-16
CUS-00023,Asaba Ventures,South-South,Port Harcourt,08127637794,2023-11-30
CUS-00024,Uba Mart,South-South,Warri,08082398083,2019-07-04
CUS-00025,Oladipo Mart,South-South,Asaba,09049613214,2020-03-26
CUS-00026,Yenagoa Stores,South-South,Eleme,08063339667,2019-09-04
CUS-00027,Idris Cash & Carry,South-South,Port Harcourt,08182017516,2023-09-22
CUS-00028,Epe Wholesale,South-West,Abeokuta,09095704631,2019-02-23
CUS-00029,Ibadan North Supermarket,South-West,Abeokuta,08191883846,2023-03-06
CUS-00030,Minna Foods,North-Central,Lugbe,09025659979,2023-08-20
CUS-00031,Nwankwo Stores,South-West,Lekki,08082148284,2023-08-29
CUS-00032,Mohammed Foods,South-West,Ogbomoso,09088831486,2020-04-03
CUS-00033,Garki Ventures,North-Central,Makurdi,09047546086,2024-03-26
CUS-00034,Uche Provisions,North-Central,Jabi,07059302863,2021-05-13
CUS-00035,Port Harcourt Cash & Carry,South-South,Asaba,08026395999,2019-02-05
CUS-00036,Ibrahim Provisions,South-South,Sapele,07016788532,2020-01-03
CUS-00037,Oshodi Enterprises,South-West,Yaba,07084384510,2023-04-04
CUS-00038,Kubwa Trading Co,North-Central,Gwarinpa,07047215199,2019-08-09
CUS-00039,Bonny Wholesale,South-South,Eleme,07098725654,2019-07-24
CUS-00040,Idris Provisions,South-West,Abeokuta,08112118101,2023-06-11
CUS-00041,Uba Hotel,South-West,Lekki,07073920651,2021-11-26
CUS-00042,Akinola Ventures,South-South,Bonny,08092558242,2024-03-05
CUS-00043,Jos Wholesale,North-Central,Minna,07018163847,2021-09-25
CUS-00044,Akinola Ventures,South-South,Yenagoa,07020843514,2022-08-12
CUS-00045,Oladipo Enterprises,North-Central,Makurdi,08161124122,2021-01-25
CUS-00046,Garba Cash & Carry,North-Central,Garki,07097874085,2020-10-07
CUS-00047,Warri Cash & Carry,South-South,Yenagoa,08065541117,2022-07-08
CUS-00048,Suleiman Stores,South-South,Uyo,09051946203,2020-09-08
CUS-00049,Epe Ventures,South-West,Lekki,07021457410,2023-11-24
CUS-00050,Agege Mart,South-West,Ogbomoso,07088714010,2019-01-20
CUS-00051,Adesanya Cash & Carry,North-Central,Jabi,09016904975,2022-10-21
CUS-00052,Aliyu Hotel,North-Central,Kubwa,08098145654,2021-09-18
CUS-00053,Musa Trading Co,South-West,Lekki,08187054398,2023-02-24
CUS-00054,Sapele Enterprises,South-South,Bonny,07091737913,2019-03-18
CUS-00055,Wuse Mart,North-Central,Lugbe,08155610493,2022-06-14
CUS-00056,Abeokuta Superstores,South-West,Mushin,07029042093,2020-04-06
CUS-00057,Mohammed Hotel,North-Central,Kubwa,09066348963,2021-11-15
CUS-00058,Suleiman Trading Co,South-West,Oshodi,07017061037,2023-07-19
CUS-00059,Epe Stores,South-West,Ikorodu,09098843907,2022-01-15
CUS-00060,Oladipo Provisions,South-West,Oshodi,07056328316,2022-01-03
CUS-00061,Abeokuta Ventures,South-West,Ogbomoso,08116095815,2023-03-08
CUS-00062,Ikeja Provisions,South-West,Ikorodu,08028419343,2020-02-18
CUS-00063,Adeyemi Ventures,South-West,Badagry,09033581357,2023-09-11
CUS-00064,Ogbomoso Hotel,South-West,Alimosho,08119673809,2022-03-11
CUS-00065,Adebayo Ventures,South-South,Obio-Akpor,08187277086,2022-01-04
CUS-00066,Lokoja Wholesale,North-Central,Garki,09012799319,2022-08-06
CUS-00067,Ibadan North Foods,South-West,Agege,07068614462,2019-09-07
CUS-00068,Obi Hotel,South-West,Lekki,09051644346,2020-03-27
CUS-00069,Fashola Stores,South-West,Ogbomoso,07081216573,2021-07-23
CUS-00070,Agege Foods,South-West,Alimosho,08041711468,2023-11-04
CUS-00071,Garba Mart,South-West,Oshodi,07033776150,2019-01-31
CUS-00072,Hassan Enterprises,South-South,Sapele,09085764804,2020-10-24
CUS-00073,Jabi Mart,North-Central,Minna,07072937522,2021-12-09
CUS-00074,Makurdi Supermarket,North-Central,Jabi,07051662236,2021-10-30
CUS-00075,Rabiu Wholesale,South-West,Lekki,07092545028,2021-02-01
CUS-00076,Musa Foods,North-Central,Wuse,09086726461,2020-10-06
CUS-00077,Ogbomoso Mart,South-West,Ikeja,09023891786,2019-11-15
CUS-00078,Haruna Stores,South-South,Bonny,08015253567,2023-01-11
CUS-00079,Jos Hotel,North-Central,Makurdi,08058841557,2022-04-30
CUS-00080,Yusuf Trading Co,South-South,Sapele,07094676162,2020-10-15
CUS-00081,Musa Superstores,South-West,Mushin,08143822301,2020-05-11
CUS-00082,Sapele Mart,South-South,Uyo,07088213973,2020-09-11
CUS-00083,Yakubu Foods,South-West,Epe,09027307598,2021-01-30
CUS-00084,Musa Cash & Carry,North-Central,Jabi,08099941500,2020-06-23
CUS-00085,Bonny Stores,South-South,Calabar,08112446861,2022-05-21
CUS-00086,Agege Ventures,South-West,Yaba,08028463709,2023-07-20
CUS-00087,Lekki Hotel,South-West,Oshodi,07098842638,2022-07-13
CUS-00088,Sapele Cash & Carry,South-South,Eleme,08034272734,2019-10-04
CUS-00089,Gwarinpa Foods,North-Central,Minna,07065144509,2022-05-17
CUS-00090,Uche Enterprises,North-Central,Lugbe,09041407343,2021-06-04
CUS-00091,Oshodi Ventures,South-West,Alimosho,08059370777,2020-08-12
CUS-00092,Yenagoa Wholesale,South-South,Calabar,09031751079,2019-11-03
CUS-00093,Alimosho Wholesale,South-West,Ikeja,09059823245,2021-04-23
CUS-00094,Bonny Stores,South-South,Asaba,07031516757,2022-11-21
CUS-00095,Rabiu Cash & Carry,South-West,Lekki,08070549373,2019-06-17
CUS-00096,Adeleke Cash & Carry,South-West,Ogbomoso,08141645597,2022-04-03
CUS-00097,Adebayo Trading Co,South-South,Obio-Akpor,08129602406,2023-08-25
CUS-00098,Ibadan North Foods,South-West,Alimosho,08072962895,2021-11-26
CUS-00099,Wuse Wholesale,North-Central,Kubwa,08083659258,2019-02-23
CUS-00100,Adesanya Wholesale,North-Central,Kubwa,08126354208,2024-02-25
CUS-00101,Abeokuta Ventures,South-West,Lekki,07077085942,2021-01-26
CUS-00102,Makurdi Provisions,North-Central,Gwarinpa,08167611469,2024-05-29
CUS-00103,Uba Mart,North-Central,Garki,08119083764,2019-01-27
CUS-00104,Orji Hotel,North-Central,Wuse,09073100462,2024-03-04
CUS-00105,Lugbe Foods,North-Central,Wuse,08119067690,2022-06-26
CUS-00106,Lekki Enterprises,South-West,Badagry,08127905932,2024-03-03
CUS-00107,Yakubu Mart,South-West,Alimosho,09074227366,2020-11-16
CUS-00108,Haruna Ventures,South-West,Ikeja,08137057085,2024-03-04
CUS-00109,Uyo Wholesale,South-South,Bonny,09082884346,2021-10-06
CUS-00110,Yaba Wholesale,South-West,Agege,07098010774,2022-07-23
CUS-00111,Mushin Cash & Carry,South-West,Badagry,09061894582,2022-07-08
