SupplierID,SupplierName,CategoryFocus,QuotedLeadTimeDays,Phone,State
SUP-01,NestFoods Distribution Ltd,Food Staples,7,07046913810,Lagos
SUP-02,Golden Harvest Suppliers,Home Care,10,08028728463,Lagos
SUP-03,Zenith Consumer Goods Ltd,Personal Care,7,07089254563,Ogun
SUP-04,Bluewave Beverages Ltd,Beverages,14,09014265799,Lagos
SUP-05,Crownfield Foods Nigeria,Food Staples,7,07039345092,Lagos
SUP-06,Sahel Trading Company,Home Care,10,07085329037,Ogun
SUP-07,Palmgrove Import & Supply,Personal Care,10,09039587039,Lagos
SUP-08,Unity FMCG Distributors,Beverages,14,08110872248,Lagos
SUP-09,Rivergate Commodities Ltd,Food Staples,14,08066722344,Ogun
SUP-10,Alpha Homecare Supplies,Home Care,14,08130868105,Lagos
SUP-11,Maple Leaf Personal Care,Personal Care,10,08123718431,Lagos
SUP-12,Kesington Foods Ltd,Beverages,7,09022981052,Ogun
SUP-13,TransAtlantic Consumer Ltd,Food Staples,14,08156164955,Lagos
SUP-14,Greenfield Agro Supplies,Home Care,21,08115831819,Lagos
SUP-15,Silverline Beverages,Personal Care,14,07060806024,Ogun
SUP-16,Oceanic Foods & Beverages,Beverages,7,08194374605,Lagos
SUP-17,Providus Household Ltd,Food Staples,14,08187490893,Lagos
SUP-18,Cedar Personal Products,Home Care,10,07016150444,Ogun
SUP-19,Sunrise Staples Ltd,Personal Care,10,08120709497,Lagos
SUP-20,Kano Commodity Traders,Beverages,10,07061019678,Lagos
SUP-21,Delta Homecare Ltd,Food Staples,14,08170855700,Ogun
SUP-22,Eagleview Distribution,Home Care,14,08059684848,Lagos
SUP-23,Prime Beverage Partners,Personal Care,14,08099949389,Lagos
SUP-24,Heritage Consumer Goods,Beverages,14,08196977837,Ogun
SUP-25,Westgate Supply Chain Ltd,Food Staples,7,08081691040,Lagos
