TxnID,TxnDate,TxnType,WarehouseID,ProductID,QtyChange,Reference,EmployeeID
TXN-000001,2024-07-04,RECEIPT,WH-IBD,PRD-0079,67,PO-2024-00004,EMP-007
TXN-000002,2024-07-05,RECEIPT,WH-IBD,PRD-0145,84,PO-2024-00008,EMP-002
TXN-000003,2024-07-06,RECEIPT,WH-LAG2,PRD-0083,191,PO-2024-00005,EMP-016
TXN-000004,2024-07-07,RECEIPT,WH-PHC,PRD-0059,68,PO-2024-00002,EMP-019
TXN-000005,2024-07-10,TRANSFER_OUT,WH-LAG1,PRD-0028,-15,TRF-00001,EMP-010
TXN-000006,2024-07-10,TRANSFER_IN,WH-IBD,PRD-0028,15,TRF-00001,EMP-022
TXN-000007,2024-07-11,RECEIPT,WH-PHC,PRD-0024,31,PO-2024-00001,EMP-004
TXN-000008,2024-07-11,RECEIPT,WH-IBD,PRD-0018,87,PO-2024-00017,EMP-037
TXN-000009,2024-07-11,RECEIPT,WH-LAG2,PRD-0081,54,PO-2024-00029,EMP-016
TXN-000010,2024-07-11,RECEIPT,WH-LAG1,PRD-0158,47,PO-2024-00057,EMP-025
TXN-000011,2024-07-12,RECEIPT,WH-LAG1,PRD-0159,72,PO-2024-00010,EMP-040
TXN-000012,2024-07-12,RECEIPT,WH-IBD,PRD-0087,24,PO-2024-00031,EMP-032
TXN-000013,2024-07-12,RECEIPT,WH-ABJ,PRD-0104,35,PO-2024-00034,EMP-033
TXN-000014,2024-07-12,RECEIPT,WH-ABJ,PRD-0116,63,PO-2024-00041,EMP-018
TXN-000015,2024-07-13,RECEIPT,WH-PHC,PRD-0130,40,PO-2024-00007,EMP-009
TXN-000016,2024-07-13,RECEIPT,WH-LAG1,PRD-0030,31,PO-2024-00022,EMP-025
TXN-000017,2024-07-13,RECEIPT,WH-PHC,PRD-0166,152,PO-2024-00059,EMP-029
TXN-000018,2024-07-14,RECEIPT,WH-LAG2,PRD-0154,48,PO-2024-00009,EMP-016
TXN-000019,2024-07-14,RECEIPT,WH-LAG1,PRD-0111,126,PO-2024-00037,EMP-025
TXN-000020,2024-07-15,RECEIPT,WH-LAG2,PRD-0004,231,PO-2024-00014,EMP-021
TXN-000021,2024-07-15,RECEIPT,WH-PHC,PRD-0011,109,PO-2024-00016,EMP-029
TXN-000022,2024-07-15,RECEIPT,WH-LAG1,PRD-0059,93,PO-2024-00026,EMP-035
TXN-000023,2024-07-15,RECEIPT,WH-PHC,PRD-0132,54,PO-2024-00050,EMP-024
TXN-000024,2024-07-15,RECEIPT,WH-ABJ,PRD-0136,80,PO-2024-00051,EMP-023
TXN-000025,2024-07-15,RECEIPT,WH-IBD,PRD-0143,52,PO-2024-00052,EMP-032
TXN-000026,2024-07-16,RECEIPT,WH-PHC,PRD-0112,21,PO-2024-00039,EMP-039
TXN-000027,2024-07-16,RECEIPT,WH-LAG2,PRD-0146,44,PO-2024-00053,EMP-016
TXN-000028,2024-07-17,RECEIPT,WH-IBD,PRD-0029,34,PO-2024-00021,EMP-017
TXN-000029,2024-07-17,RECEIPT,WH-ABJ,PRD-0105,40,PO-2024-00035,EMP-018
TXN-000030,2024-07-17,RECEIPT,WH-IBD,PRD-0120,132,PO-2024-00044,EMP-002
TXN-000031,2024-07-18,RECEIPT,WH-LAG1,PRD-0021,78,PO-2024-00018,EMP-030
TXN-000032,2024-07-18,RECEIPT,WH-ABJ,PRD-0109,90,PO-2024-00036,EMP-013
TXN-000033,2024-07-18,RECEIPT,WH-IBD,PRD-0011,95,PO-2024-00065,EMP-022
TXN-000034,2024-07-18,RECEIPT,WH-LAG2,PRD-0018,99,PO-2024-00067,EMP-031
TXN-000035,2024-07-18,RECEIPT,WH-LAG1,PRD-0138,169,PO-2024-00130,EMP-030
TXN-000036,2024-07-19,RECEIPT,WH-ABJ,PRD-0148,53,PO-2024-00054,EMP-003
TXN-000037,2024-07-19,RECEIPT,WH-LAG2,PRD-0152,59,PO-2024-00055,EMP-006
TXN-000038,2024-07-19,RECEIPT,WH-IBD,PRD-0031,84,PO-2024-00073,EMP-017
TXN-000039,2024-07-19,RECEIPT,WH-LAG2,PRD-0039,146,PO-2024-00080,EMP-036
TXN-000040,2024-07-19,RECEIPT,WH-PHC,PRD-0097,29,PO-2024-00108,EMP-004
TXN-000041,2024-07-19,RECEIPT,WH-IBD,PRD-0157,47,PO-2024-00143,EMP-012
TXN-000042,2024-07-20,RECEIPT,WH-LAG2,PRD-0085,70,PO-2024-00030,EMP-006
TXN-000043,2024-07-20,RECEIPT,WH-ABJ,PRD-0111,107,PO-2024-00038,EMP-013
TXN-000044,2024-07-20,RECEIPT,WH-PHC,PRD-0126,55,PO-2024-00048,EMP-004
TXN-000045,2024-07-20,RECEIPT,WH-IBD,PRD-0004,137,PO-2024-00061,EMP-032
TXN-000046,2024-07-20,RECEIPT,WH-LAG1,PRD-0068,206,PO-2024-00099,EMP-005
TXN-000047,2024-07-20,RECEIPT,WH-LAG2,PRD-0079,46,PO-2024-00105,EMP-031
TXN-000048,2024-07-21,RECEIPT,WH-LAG2,PRD-0070,47,PO-2024-00003,EMP-026
TXN-000049,2024-07-21,RECEIPT,WH-ABJ,PRD-0093,138,PO-2024-00033,EMP-013
TXN-000050,2024-07-21,RECEIPT,WH-ABJ,PRD-0117,85,PO-2024-00042,EMP-008
TXN-000051,2024-07-21,RECEIPT,WH-LAG2,PRD-0162,60,PO-2024-00058,EMP-026
TXN-000052,2024-07-21,RECEIPT,WH-ABJ,PRD-0018,101,PO-2024-00068,EMP-008
TXN-000053,2024-07-21,RECEIPT,WH-PHC,PRD-0035,67,PO-2024-00077,EMP-024
TXN-000054,2024-07-21,RECEIPT,WH-ABJ,PRD-0039,210,PO-2024-00081,EMP-018
TXN-000055,2024-07-21,RECEIPT,WH-LAG1,PRD-0053,30,PO-2024-00088,EMP-030
TXN-000056,2024-07-21,RECEIPT,WH-LAG2,PRD-0060,105,PO-2024-00094,EMP-006
TXN-000057,2024-07-21,RECEIPT,WH-PHC,PRD-0062,126,PO-2024-00095,EMP-039
TXN-000058,2024-07-21,RECEIPT,WH-IBD,PRD-0063,67,PO-2024-00096,EMP-012
TXN-000059,2024-07-21,RECEIPT,WH-LAG1,PRD-0105,55,PO-2024-00112,EMP-020
TXN-000060,2024-07-21,RECEIPT,WH-LAG1,PRD-0170,124,PO-2024-00149,EMP-035
TXN-000061,2024-07-22,RECEIPT,WH-LAG1,PRD-0124,85,PO-2024-00006,EMP-020
TXN-000062,2024-07-22,RECEIPT,WH-LAG2,PRD-0121,167,PO-2024-00045,EMP-006
TXN-000063,2024-07-22,RECEIPT,WH-LAG1,PRD-0130,56,PO-2024-00049,EMP-030
TXN-000064,2024-07-22,RECEIPT,WH-LAG1,PRD-0154,102,PO-2024-00056,EMP-020
TXN-000065,2024-07-22,RECEIPT,WH-PHC,PRD-0008,53,PO-2024-00063,EMP-004
TXN-000066,2024-07-22,RECEIPT,WH-IBD,PRD-0040,50,PO-2024-00082,EMP-037
TXN-000067,2024-07-22,RECEIPT,WH-ABJ,PRD-0049,63,PO-2024-00086,EMP-003
TXN-000068,2024-07-22,RECEIPT,WH-IBD,PRD-0059,65,PO-2024-00093,EMP-037
TXN-000069,2024-07-22,RECEIPT,WH-PHC,PRD-0067,77,PO-2024-00098,EMP-009
TXN-000070,2024-07-22,RECEIPT,WH-LAG2,PRD-0103,60,PO-2024-00111,EMP-001
TXN-000071,2024-07-22,RECEIPT,WH-IBD,PRD-0137,90,PO-2024-00129,EMP-022
TXN-000072,2024-07-22,RECEIPT,WH-IBD,PRD-0138,78,PO-2024-00131,EMP-037
TXN-000073,2024-07-22,RECEIPT,WH-PHC,PRD-0138,85,PO-2024-00132,EMP-034
TXN-000074,2024-07-23,RECEIPT,WH-LAG2,PRD-0078,104,PO-2024-00028,EMP-021
