Date,WarehouseID,ProductID,QtyLost,CustomerID,Reason
2024-07-01,WH-LAG1,PRD-0159,36,CUS-01023,PARTIAL_FILL
2024-07-02,WH-ABJ,PRD-0114,4,CUS-02441,PARTIAL_FILL
2024-07-02,WH-ABJ,PRD-0128,3,CUS-00441,PARTIAL_FILL
2024-07-03,WH-ABJ,PRD-0002,2,CUS-00602,PARTIAL_FILL
2024-07-03,WH-IBD,PRD-0010,8,CUS-01752,PARTIAL_FILL
2024-07-03,WH-LAG1,PRD-0059,4,CUS-01406,STOCKOUT
2024-07-04,WH-PHC,PRD-0024,5,CUS-00151,PARTIAL_FILL
2024-07-04,WH-IBD,PRD-0029,7,CUS-02096,PARTIAL_FILL
2024-07-05,WH-PHC,PRD-0126,3,CUS-00929,PARTIAL_FILL
2024-07-05,WH-ABJ,PRD-0148,2,CUS-01382,PARTIAL_FILL
2024-07-05,WH-LAG2,PRD-0152,16,CUS-00037,PARTIAL_FILL
2024-07-06,WH-LAG2,PRD-0023,15,CUS-01761,PARTIAL_FILL
2024-07-06,WH-ABJ,PRD-0136,1,CUS-01976,PARTIAL_FILL
2024-07-06,WH-ABJ,PRD-0148,1,CUS-01075,STOCKOUT
2024-07-07,WH-ABJ,PRD-0128,5,CUS-01154,STOCKOUT
2024-07-07,WH-LAG2,PRD-0146,4,CUS-01575,PARTIAL_FILL
2024-07-08,WH-LAG1,PRD-0024,5,CUS-00917,PARTIAL_FILL
2024-07-08,WH-ABJ,PRD-0128,1,CUS-00010,STOCKOUT
2024-07-08,WH-LAG1,PRD-0159,12,CUS-00696,STOCKOUT
2024-07-08,WH-PHC,PRD-0170,10,CUS-01422,PARTIAL_FILL
2024-07-09,WH-PHC,PRD-0024,5,CUS-00904,STOCKOUT
2024-07-11,WH-LAG2,PRD-0006,2,CUS-00916,PARTIAL_FILL
2024-07-11,WH-PHC,PRD-0008,6,CUS-01385,PARTIAL_FILL
2024-07-11,WH-IBD,PRD-0063,7,CUS-01519,PARTIAL_FILL
2024-07-11,WH-ABJ,PRD-0065,1,CUS-00011,PARTIAL_FILL
2024-07-11,WH-PHC,PRD-0170,29,CUS-02133,STOCKOUT
2024-07-12,WH-IBD,PRD-0101,2,CUS-02216,PARTIAL_FILL
2024-07-12,WH-LAG2,PRD-0116,2,CUS-01265,PARTIAL_FILL
2024-07-14,WH-LAG1,PRD-0130,2,CUS-01015,PARTIAL_FILL
2024-07-15,WH-LAG2,PRD-0027,3,CUS-01448,PARTIAL_FILL
2024-07-15,WH-ABJ,PRD-0052,11,CUS-01677,PARTIAL_FILL
2024-07-15,WH-PHC,PRD-0126,17,CUS-00211,STOCKOUT
2024-07-15,WH-LAG2,PRD-0146,3,CUS-02043,STOCKOUT
2024-07-16,WH-ABJ,PRD-0012,8,CUS-00674,PARTIAL_FILL
2024-07-16,WH-LAG1,PRD-0114,9,CUS-00334,PARTIAL_FILL
2024-07-16,WH-PHC,PRD-0138,12,CUS-01353,PARTIAL_FILL
2024-07-17,WH-LAG2,PRD-0006,3,CUS-00422,STOCKOUT
2024-07-17,WH-ABJ,PRD-0012,2,CUS-01182,STOCKOUT
2024-07-17,WH-ABJ,PRD-0014,14,CUS-01712,PARTIAL_FILL
2024-07-17,WH-IBD,PRD-0075,3,CUS-01023,PARTIAL_FILL
2024-07-17,WH-LAG2,PRD-0107,43,CUS-00599,PARTIAL_FILL
2024-07-18,WH-PHC,PRD-0046,3,CUS-01191,PARTIAL_FILL
2024-07-18,WH-IBD,PRD-0110,1,CUS-02396,PARTIAL_FILL
2024-07-19,WH-PHC,PRD-0025,10,CUS-01203,PARTIAL_FILL
2024-07-19,WH-LAG1,PRD-0036,12,CUS-00309,PARTIAL_FILL
2024-07-19,WH-LAG2,PRD-0056,1,CUS-01791,PARTIAL_FILL
2024-07-19,WH-LAG1,PRD-0095,13,CUS-00293,PARTIAL_FILL
2024-07-20,WH-PHC,PRD-0009,3,CUS-02113,PARTIAL_FILL
2024-07-20,WH-LAG1,PRD-0055,7,CUS-00244,PARTIAL_FILL
2024-07-20,WH-IBD,PRD-0086,8,CUS-00551,PARTIAL_FILL
2024-07-20,WH-ABJ,PRD-0169,4,CUS-01038,STOCKOUT
2024-07-21,WH-LAG1,PRD-0115,4,CUS-00506,PARTIAL_FILL
2024-07-21,WH-ABJ,PRD-0170,1,CUS-00847,PARTIAL_FILL
2024-07-22,WH-IBD,PRD-0074,13,CUS-02142,PARTIAL_FILL
2024-07-22,WH-LAG2,PRD-0075,7,CUS-01596,PARTIAL_FILL
2024-07-22,WH-LAG1,PRD-0079,4,CUS-00685,STOCKOUT
2024-07-22,WH-IBD,PRD-0086,17,CUS-00801,STOCKOUT
2024-07-22,WH-LAG1,PRD-0114,12,CUS-01553,STOCKOUT
2024-07-22,WH-ABJ,PRD-0128,2,CUS-00502,STOCKOUT
2024-07-23,WH-ABJ,PRD-0012,11,CUS-01914,STOCKOUT
2024-07-23,WH-IBD,PRD-0013,25,CUS-01955,PARTIAL_FILL
2024-07-23,WH-ABJ,PRD-0035,2,CUS-01744,PARTIAL_FILL
2024-07-23,WH-IBD,PRD-0086,4,CUS-01597,STOCKOUT
2024-07-23,WH-ABJ,PRD-0124,4,CUS-02384,PARTIAL_FILL
2024-07-24,WH-LAG1,PRD-0024,4,CUS-00784,STOCKOUT
2024-07-24,WH-PHC,PRD-0036,1,CUS-00473,PARTIAL_FILL
2024-07-24,WH-ABJ,PRD-0123,4,CUS-00045,PARTIAL_FILL
2024-07-24,WH-PHC,PRD-0146,12,CUS-00410,PARTIAL_FILL
2024-07-25,WH-LAG2,PRD-0002,4,CUS-01758,PARTIAL_FILL
2024-07-25,WH-IBD,PRD-0052,4,CUS-00680,PARTIAL_FILL
2024-07-25,WH-LAG1,PRD-0055,5,CUS-02315,STOCKOUT
2024-07-25,WH-LAG1,PRD-0056,7,CUS-02320,PARTIAL_FILL
2024-07-25,WH-LAG1,PRD-0056,6,CUS-00721,STOCKOUT
2024-07-25,WH-ABJ,PRD-0065,8,CUS-02373,STOCKOUT
2024-07-25,WH-IBD,PRD-0086,6,CUS-01239,STOCKOUT
2024-07-25,WH-LAG1,PRD-0114,6,CUS-00655,STOCKOUT
2024-07-25,WH-ABJ,PRD-0128,2,CUS-01669,STOCKOUT
2024-07-26,WH-ABJ,PRD-0013,1,CUS-01992,PARTIAL_FILL
2024-07-26,WH-PHC,PRD-0046,15,CUS-01367,STOCKOUT
2024-07-26,WH-PHC,PRD-0064,10,CUS-02248,PARTIAL_FILL
2024-07-26,WH-LAG2,PRD-0130,2,CUS-00182,PARTIAL_FILL
2024-07-27,WH-PHC,PRD-0045,14,CUS-01021,PARTIAL_FILL
2024-07-27,WH-IBD,PRD-0095,1,CUS-01942,PARTIAL_FILL
2024-07-27,WH-PHC,PRD-0098,14,CUS-00745,PARTIAL_FILL
2024-07-27,WH-ABJ,PRD-0101,7,CUS-02292,PARTIAL_FILL
2024-07-27,WH-LAG2,PRD-0132,9,CUS-00378,PARTIAL_FILL
