SnapshotDate,WarehouseID,ProductID,SystemQty,StockValueNGN
2024-07-31,WH-LAG1,PRD-0001,17,71400
2024-07-31,WH-LAG2,PRD-0001,38,159600
2024-07-31,WH-IBD,PRD-0001,18,75600
2024-07-31,WH-ABJ,PRD-0001,26,109200
2024-07-31,WH-PHC,PRD-0001,11,46200
2024-07-31,WH-LAG1,PRD-0002,23,94300
2024-07-31,WH-LAG2,PRD-0002,0,0
2024-07-31,WH-IBD,PRD-0002,10,41000
2024-07-31,WH-ABJ,PRD-0002,39,159900
2024-07-31,WH-PHC,PRD-0002,11,45100
2024-07-31,WH-LAG1,PRD-0003,11,45100
2024-07-31,WH-LAG2,PRD-0003,10,41000
2024-07-31,WH-IBD,PRD-0003,10,41000
2024-07-31,WH-ABJ,PRD-0003,6,24600
2024-07-31,WH-PHC,PRD-0003,10,41000
2024-07-31,WH-LAG1,PRD-0004,164,639600
2024-07-31,WH-LAG2,PRD-0004,255,994500
2024-07-31,WH-IBD,PRD-0004,147,573300
2024-07-31,WH-ABJ,PRD-0004,280,1092000
2024-07-31,WH-PHC,PRD-0004,0,0
2024-07-31,WH-LAG1,PRD-0005,43,111800
2024-07-31,WH-LAG2,PRD-0005,28,72800
2024-07-31,WH-IBD,PRD-0005,24,62400
2024-07-31,WH-ABJ,PRD-0005,43,111800
2024-07-31,WH-PHC,PRD-0005,33,85800
2024-07-31,WH-LAG1,PRD-0006,28,70000
2024-07-31,WH-LAG2,PRD-0006,0,0
2024-07-31,WH-IBD,PRD-0006,11,27500
2024-07-31,WH-ABJ,PRD-0006,15,37500
2024-07-31,WH-PHC,PRD-0006,13,32500
2024-07-31,WH-LAG1,PRD-0007,48,662400
2024-07-31,WH-LAG2,PRD-0007,47,648600
2024-07-31,WH-IBD,PRD-0007,5,69000
2024-07-31,WH-ABJ,PRD-0007,108,1490400
2024-07-31,WH-PHC,PRD-0007,33,455400
2024-07-31,WH-LAG1,PRD-0008,26,351000
2024-07-31,WH-LAG2,PRD-0008,23,310500
2024-07-31,WH-IBD,PRD-0008,9,121500
2024-07-31,WH-ABJ,PRD-0008,61,823500
2024-07-31,WH-PHC,PRD-0008,53,715500
2024-07-31,WH-LAG1,PRD-0009,1,14200
2024-07-31,WH-LAG2,PRD-0009,11,156200
2024-07-31,WH-IBD,PRD-0009,10,142000
2024-07-31,WH-ABJ,PRD-0009,13,184600
2024-07-31,WH-PHC,PRD-0009,0,0
2024-07-31,WH-LAG1,PRD-0010,14,184800
2024-07-31,WH-LAG2,PRD-0010,10,132000
2024-07-31,WH-IBD,PRD-0010,20,264000
2024-07-31,WH-ABJ,PRD-0010,3,39600
2024-07-31,WH-PHC,PRD-0010,5,66000
2024-07-31,WH-LAG1,PRD-0011,59,820100
2024-07-31,WH-LAG2,PRD-0011,119,1654100
2024-07-31,WH-IBD,PRD-0011,103,1431700
2024-07-31,WH-ABJ,PRD-0011,51,708900
