POLineID,PONumber,OrderDate,SupplierID,ProductID,WarehouseID,QtyOrdered,UnitCostNGN,LineValueNGN,PromisedDate,ReceivedDate
POL-00001,PO-2024-00001,2024-07-01,SUP-24,PRD-0024,WH-PHC,31,7800,241800,2024-07-15,2024-07-11
POL-00002,PO-2024-00002,2024-07-01,SUP-01,PRD-0059,WH-PHC,68,42500,2890000,2024-07-08,2024-07-07
POL-00003,PO-2024-00003,2024-07-01,SUP-13,PRD-0070,WH-LAG2,47,15400,723800,2024-07-15,2024-07-21
POL-00004,PO-2024-00004,2024-07-01,SUP-05,PRD-0079,WH-IBD,67,38500,2579500,2024-07-08,2024-07-04
POL-00005,PO-2024-00005,2024-07-01,SUP-01,PRD-0083,WH-LAG2,191,18400,3514400,2024-07-08,2024-07-06
POL-00006,PO-2024-00006,2024-07-01,SUP-14,PRD-0124,WH-LAG1,85,6800,578000,2024-07-22,2024-07-22
POL-00007,PO-2024-00007,2024-07-01,SUP-10,PRD-0130,WH-PHC,40,10800,432000,2024-07-15,2024-07-13
POL-00008,PO-2024-00008,2024-07-01,SUP-19,PRD-0145,WH-IBD,84,25400,2133600,2024-07-11,2024-07-05
POL-00009,PO-2024-00009,2024-07-01,SUP-15,PRD-0154,WH-LAG2,48,33600,1612800,2024-07-15,2024-07-14
POL-00010,PO-2024-00010,2024-07-01,SUP-15,PRD-0159,WH-LAG1,72,19800,1425600,2024-07-15,2024-07-12
POL-00011,PO-2024-00011,2024-07-08,SUP-24,PRD-0001,WH-LAG2,36,4200,151200,2024-07-22,2024-07-29
POL-00012,PO-2024-00012,2024-07-08,SUP-24,PRD-0002,WH-LAG2,28,4100,114800,2024-07-22,2024-08-05
POL-00013,PO-2024-00013,2024-07-08,SUP-24,PRD-0002,WH-ABJ,39,4100,159900,2024-07-22,2024-07-29
POL-00014,PO-2024-00014,2024-07-08,SUP-12,PRD-0004,WH-LAG2,231,3900,900900,2024-07-15,2024-07-15
POL-00015,PO-2024-00015,2024-07-08,SUP-24,PRD-0010,WH-IBD,20,13200,264000,2024-07-22,2024-07-29
POL-00016,PO-2024-00016,2024-07-08,SUP-16,PRD-0011,WH-PHC,109,13900,1515100,2024-07-15,2024-07-15
POL-00017,PO-2024-00017,2024-07-08,SUP-12,PRD-0018,WH-IBD,87,48200,4193400,2024-07-15,2024-07-11
POL-00018,PO-2024-00018,2024-07-08,SUP-16,PRD-0021,WH-LAG1,78,14800,1154400,2024-07-15,2024-07-18
POL-00019,PO-2024-00019,2024-07-08,SUP-24,PRD-0023,WH-LAG2,72,13400,964800,2024-07-22,2024-08-03
POL-00020,PO-2024-00020,2024-07-08,SUP-24,PRD-0024,WH-LAG1,58,7800,452400,2024-07-22,2024-07-27
POL-00021,PO-2024-00021,2024-07-08,SUP-20,PRD-0029,WH-IBD,34,8900,302600,2024-07-18,2024-07-17
POL-00022,PO-2024-00022,2024-07-08,SUP-16,PRD-0030,WH-LAG1,31,21500,666500,2024-07-15,2024-07-13
POL-00023,PO-2024-00023,2024-07-08,SUP-04,PRD-0038,WH-LAG2,27,11900,321300,2024-07-22,2024-07-27
POL-00024,PO-2024-00024,2024-07-08,SUP-09,PRD-0055,WH-LAG1,77,13800,1062600,2024-07-22,2024-08-01
POL-00025,PO-2024-00025,2024-07-08,SUP-09,PRD-0056,WH-ABJ,51,21400,1091400,2024-07-22,2024-08-05
POL-00026,PO-2024-00026,2024-07-08,SUP-01,PRD-0059,WH-LAG1,93,42500,3952500,2024-07-15,2024-07-15
POL-00027,PO-2024-00027,2024-07-08,SUP-13,PRD-0064,WH-PHC,93,30800,2864400,2024-07-22,2024-08-05
POL-00028,PO-2024-00028,2024-07-08,SUP-09,PRD-0078,WH-LAG2,104,27800,2891200,2024-07-22,2024-07-23
POL-00029,PO-2024-00029,2024-07-08,SUP-25,PRD-0081,WH-LAG2,54,32400,1749600,2024-07-15,2024-07-11
POL-00030,PO-2024-00030,2024-07-08,SUP-21,PRD-0085,WH-LAG2,70,26200,1834000,2024-07-22,2024-07-20
POL-00031,PO-2024-00031,2024-07-08,SUP-01,PRD-0087,WH-IBD,24,18800,451200,2024-07-15,2024-07-12
POL-00032,PO-2024-00032,2024-07-08,SUP-21,PRD-0088,WH-ABJ,59,12400,731600,2024-07-22,2024-07-25
POL-00033,PO-2024-00033,2024-07-08,SUP-22,PRD-0093,WH-ABJ,138,19400,2677200,2024-07-22,2024-07-21
POL-00034,PO-2024-00034,2024-07-08,SUP-18,PRD-0104,WH-ABJ,35,13800,483000,2024-07-18,2024-07-12
POL-00035,PO-2024-00035,2024-07-08,SUP-02,PRD-0105,WH-ABJ,40,34600,1384000,2024-07-18,2024-07-17
POL-00036,PO-2024-00036,2024-07-08,SUP-06,PRD-0109,WH-ABJ,90,26400,2376000,2024-07-18,2024-07-18
POL-00037,PO-2024-00037,2024-07-08,SUP-18,PRD-0111,WH-LAG1,126,9800,1234800,2024-07-18,2024-07-14
POL-00038,PO-2024-00038,2024-07-08,SUP-18,PRD-0111,WH-ABJ,107,9800,1048600,2024-07-18,2024-07-20
POL-00039,PO-2024-00039,2024-07-08,SUP-06,PRD-0112,WH-PHC,21,11800,247800,2024-07-18,2024-07-16
POL-00040,PO-2024-00040,2024-07-08,SUP-22,PRD-0114,WH-ABJ,25,12200,305000,2024-07-22,2024-07-23
