ReturnID,ReturnDate,OrderID,CustomerID,ProductID,WarehouseID,QtyReturned,Reason
RET-00001,2024-12-28,ORD-2024-013030,CUS-01852,PRD-0146,WH-LAG1,4,Wrong item
RET-00002,2025-06-27,ORD-2025-025947,CUS-02237,PRD-0120,WH-LAG2,6,Customer overstock
RET-00003,2025-07-01,ORD-2025-026994,CUS-01394,PRD-0065,WH-LAG2,10,Near expiry
RET-00004,2026-05-27,ORD-2026-050977,CUS-00224,PRD-0161,WH-ABJ,3,Customer overstock
RET-00005,2024-07-12,ORD-2024-000156,CUS-01646,PRD-0166,WH-PHC,5,Near expiry
RET-00006,2025-08-29,ORD-2025-030121,CUS-02038,PRD-0103,WH-ABJ,16,Damaged in transit
RET-00007,2025-09-05,ORD-2025-030703,CUS-02016,PRD-0111,WH-LAG2,7,Damaged in transit
RET-00008,2025-09-06,ORD-2025-030847,CUS-01539,PRD-0086,WH-IBD,5,Near expiry
RET-00009,2025-10-28,ORD-2025-034729,CUS-01756,PRD-0064,WH-PHC,1,Customer overstock
RET-00010,2025-01-27,ORD-2025-015715,CUS-02073,PRD-0084,WH-PHC,1,Customer overstock
RET-00011,2024-12-09,ORD-2024-011915,CUS-00228,PRD-0082,WH-LAG1,3,Customer overstock
RET-00012,2025-09-14,ORD-2025-031365,CUS-00656,PRD-0090,WH-LAG1,13,Wrong item
RET-00013,2024-12-08,ORD-2024-011829,CUS-02009,PRD-0100,WH-LAG1,8,Near expiry
RET-00014,2025-07-16,ORD-2025-027719,CUS-00174,PRD-0051,WH-ABJ,5,Customer overstock
RET-00015,2025-11-09,ORD-2025-035506,CUS-01863,PRD-0145,WH-LAG2,3,Damaged in transit
RET-00016,2025-02-25,ORD-2025-017611,CUS-01771,PRD-0123,WH-LAG1,11,Wrong item
RET-00017,2024-09-02,ORD-2024-003659,CUS-01709,PRD-0075,WH-PHC,1,Customer overstock
RET-00018,2026-01-05,ORD-2025-041317,CUS-01561,PRD-0090,WH-LAG1,2,Near expiry
RET-00019,2025-09-06,ORD-2025-031397,CUS-01043,PRD-0151,WH-LAG1,8,Near expiry
RET-00020,2026-04-25,ORD-2026-049046,CUS-00890,PRD-0004,WH-ABJ,4,Wrong item
RET-00021,2026-01-17,ORD-2026-042423,CUS-01153,PRD-0165,WH-LAG2,1,Wrong item
RET-00022,2026-05-29,ORD-2026-051386,CUS-01593,PRD-0142,WH-LAG1,1,Near expiry
RET-00023,2024-08-24,ORD-2024-002895,CUS-02159,PRD-0160,WH-PHC,4,Near expiry
RET-00024,2025-03-25,ORD-2025-019948,CUS-01276,PRD-0165,WH-LAG1,4,Damaged in transit
RET-00025,2024-11-06,ORD-2024-008464,CUS-00398,PRD-0090,WH-LAG1,4,Damaged in transit
RET-00026,2026-03-02,ORD-2026-045132,CUS-00413,PRD-0093,WH-IBD,1,Near expiry
RET-00027,2025-07-12,ORD-2025-027481,CUS-01514,PRD-0052,WH-ABJ,2,Damaged in transit
RET-00028,2026-02-10,ORD-2026-043703,CUS-01098,PRD-0074,WH-LAG1,7,Customer overstock
RET-00029,2025-12-11,ORD-2025-038199,CUS-01982,PRD-0118,WH-IBD,1,Near expiry
RET-00030,2025-12-07,ORD-2025-038079,CUS-02269,PRD-0067,WH-LAG1,2,Damaged in transit
RET-00031,2024-11-17,ORD-2024-009125,CUS-02127,PRD-0039,WH-LAG1,4,Wrong item
RET-00032,2026-06-28,ORD-2026-053500,CUS-01771,PRD-0004,WH-LAG1,2,Wrong item
RET-00033,2024-12-10,ORD-2024-011674,CUS-01207,PRD-0074,WH-LAG1,1,Wrong item
RET-00034,2025-12-20,ORD-2025-039692,CUS-00196,PRD-0116,WH-PHC,5,Near expiry
RET-00035,2025-10-12,ORD-2025-033631,CUS-01582,PRD-0002,WH-PHC,7,Near expiry
RET-00036,2024-09-14,ORD-2024-004524,CUS-01641,PRD-0156,WH-LAG2,1,Customer overstock
RET-00037,2025-04-22,ORD-2025-021842,CUS-01743,PRD-0100,WH-LAG1,3,Wrong item
RET-00038,2026-02-19,ORD-2026-044185,CUS-00633,PRD-0125,WH-LAG1,22,Damaged in transit
RET-00039,2025-05-30,ORD-2025-024853,CUS-01675,PRD-0151,WH-LAG1,5,Wrong item
RET-00040,2025-08-28,ORD-2025-030151,CUS-02159,PRD-0157,WH-PHC,15,Near expiry
RET-00041,2026-06-17,ORD-2026-052661,CUS-00952,PRD-0043,WH-IBD,12,Damaged in transit
RET-00042,2025-02-07,ORD-2025-016532,CUS-01182,PRD-0090,WH-ABJ,3,Damaged in transit
RET-00043,2026-06-06,ORD-2026-051754,CUS-02017,PRD-0046,WH-LAG2,9,Damaged in transit
RET-00044,2025-04-26,ORD-2025-022171,CUS-02084,PRD-0090,WH-ABJ,3,Near expiry
RET-00045,2026-05-26,ORD-2026-051151,CUS-00112,PRD-0161,WH-PHC,3,Wrong item
RET-00046,2025-12-22,ORD-2025-039287,CUS-00731,PRD-0077,WH-IBD,6,Wrong item
RET-00047,2025-08-23,ORD-2025-029820,CUS-01574,PRD-0108,WH-ABJ,2,Customer overstock
RET-00048,2025-09-20,ORD-2025-032199,CUS-00911,PRD-0113,WH-IBD,3,Wrong item
RET-00049,2025-08-18,ORD-2025-029816,CUS-01030,PRD-0098,WH-LAG1,3,Damaged in transit
RET-00050,2025-04-13,ORD-2025-021203,CUS-01464,PRD-0099,WH-LAG1,8,Wrong item
RET-00051,2025-08-08,ORD-2025-029046,CUS-00933,PRD-0025,WH-LAG2,10,Near expiry
RET-00052,2024-11-22,ORD-2024-009538,CUS-00858,PRD-0085,WH-ABJ,6,Wrong item
RET-00053,2026-01-21,ORD-2026-042772,CUS-01075,PRD-0082,WH-ABJ,3,Customer overstock
RET-00054,2025-11-14,ORD-2025-036504,CUS-00522,PRD-0165,WH-LAG1,6,Damaged in transit
RET-00055,2024-12-08,ORD-2024-011138,CUS-00094,PRD-0087,WH-PHC,1,Near expiry
RET-00056,2024-09-11,ORD-2024-004128,CUS-02281,PRD-0018,WH-ABJ,1,Customer overstock
RET-00057,2025-03-01,ORD-2025-017977,CUS-01418,PRD-0128,WH-LAG1,2,Damaged in transit
RET-00058,2025-07-04,ORD-2025-026889,CUS-00470,PRD-0088,WH-LAG1,12,Damaged in transit
RET-00059,2026-01-06,ORD-2025-041226,CUS-01356,PRD-0120,WH-PHC,12,Near expiry
RET-00060,2025-07-13,ORD-2025-027661,CUS-00474,PRD-0085,WH-LAG2,10,Damaged in transit
RET-00061,2024-08-04,ORD-2024-002092,CUS-01425,PRD-0046,WH-LAG1,3,Near expiry
RET-00062,2025-02-24,ORD-2025-017263,CUS-01411,PRD-0065,WH-LAG1,1,Damaged in transit
RET-00063,2025-10-07,ORD-2025-033130,CUS-02035,PRD-0044,WH-ABJ,1,Wrong item
RET-00064,2024-10-06,ORD-2024-006520,CUS-02261,PRD-0062,WH-PHC,2,Near expiry
RET-00065,2024-09-01,ORD-2024-003931,CUS-00557,PRD-0151,WH-LAG2,1,Damaged in transit
RET-00066,2024-11-16,ORD-2024-009122,CUS-02233,PRD-0027,WH-ABJ,6,Damaged in transit
RET-00067,2026-03-26,ORD-2026-046943,CUS-01397,PRD-0117,WH-PHC,4,Near expiry
RET-00068,2025-09-05,ORD-2025-030846,CUS-01061,PRD-0085,WH-LAG2,7,Customer overstock
RET-00069,2025-04-18,ORD-2025-021141,CUS-00681,PRD-0156,WH-IBD,4,Near expiry
RET-00070,2024-12-22,ORD-2024-012892,CUS-01938,PRD-0125,WH-PHC,1,Wrong item
RET-00071,2026-02-09,ORD-2026-043365,CUS-00986,PRD-0098,WH-ABJ,5,Near expiry
RET-00072,2026-05-21,ORD-2026-050583,CUS-00677,PRD-0151,WH-IBD,1,Near expiry
RET-00073,2025-07-28,ORD-2025-028104,CUS-02310,PRD-0060,WH-LAG2,9,Wrong item
RET-00074,2026-02-18,ORD-2026-043898,CUS-00966,PRD-0161,WH-ABJ,16,Wrong item
RET-00075,2024-10-25,ORD-2024-007575,CUS-01861,PRD-0079,WH-LAG1,12,Damaged in transit
RET-00076,2025-12-18,ORD-2025-039244,CUS-01078,PRD-0153,WH-LAG1,5,Damaged in transit
RET-00077,2025-11-13,ORD-2025-036049,CUS-00754,PRD-0036,WH-PHC,6,Damaged in transit
RET-00078,2025-06-06,ORD-2025-025109,CUS-00900,PRD-0151,WH-LAG1,7,Wrong item
RET-00079,2025-01-25,ORD-2025-015496,CUS-01476,PRD-0057,WH-PHC,7,Near expiry
RET-00080,2025-06-21,ORD-2025-026184,CUS-02438,PRD-0154,WH-LAG1,3,Wrong item
RET-00081,2025-12-31,ORD-2025-040515,CUS-00999,PRD-0147,WH-IBD,7,Damaged in transit
RET-00082,2025-11-06,ORD-2025-035612,CUS-00635,PRD-0125,WH-PHC,5,Near expiry
RET-00083,2025-12-13,ORD-2025-039418,CUS-01914,PRD-0084,WH-ABJ,5,Near expiry
RET-00084,2024-09-04,ORD-2024-003513,CUS-02003,PRD-0103,WH-IBD,1,Customer overstock
RET-00085,2024-10-20,ORD-2024-006958,CUS-00292,PRD-0144,WH-LAG1,1,Near expiry
RET-00086,2024-07-20,ORD-2024-000806,CUS-01294,PRD-0128,WH-LAG1,1,Damaged in transit
RET-00087,2025-07-17,ORD-2025-027791,CUS-00138,PRD-0019,WH-LAG2,1,Damaged in transit
