OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,LineTotal
ORD-2024-000001,01-Jul-24,CUS-00568,PRD-0003,4,4840,19360
ORD-2024-000004,01-Jul-24,CUS-00253,PRD-0004,7,4490,31430
ORD-2024-000010,01-Jul-24,CUS-00280,PRD-0026,8,4150,33200
ORD-2024-000020,01-Jul-24,CUS-00901,PRD-0065,5,34000,170000
ORD-2024-000041,01-Jul-24,CUS-01755,PRD-0090,15,37690,565350
ORD-2024-000051,01-Jul-24,CUS-01683,PRD-0108,13,30750,399750
ORD-2024-000051,01-Jul-24,CUS-01683,PRD-0108,13,30750,399750
ORD-2024-000053,01-Jul-24,CUS-02409,PRD-0111,7,12240,85680
ORD-2024-000063,01-Jul-24,CUS-00992,PRD-0125,13,15380,199940
ORD-2024-000067,01-Jul-24,CUS-01528,PRD-0128,11,20590,226490
ORD-2024-000072,01-Jul-24,CUS-02457,PRD-0150,11,47850,526350
ORD-2024-000077,01-Jul-24,CUS-01966,PRD-0151,4,42840,171360
ORD-2024-000078,01-Jul-24,CUS-02158,PRD-0153,6,24220,145320
ORD-2024-000085,01-Jul-24,CUS-02189,PRD-0160,9,32940,296460
ORD-2024-000088,01-Jul-24,CUS-01008,PRD-0164,10,19920,199200
ORD-2024-000092,02-Jul-24,CUS-00679,PRD-0007,11,17070,187770
ORD-2024-000095,02-Jul-24,CUS-02334,PRD-0016,1,42680,42680
ORD-2024-000099,02-Jul-24,CUS-00764,PRD-0039,40,14770,590800
ORD-2024-000104,02-Jul-24,CUS-00922,PRD-0056,9,25020,225180
ORD-2024-000110,02-Jul-24,CUS-01933,PRD-0065,8,34000,272000
ORD-2024-000112,02-Jul-24,CUS-02479,PRD-0076,5,28050,140250
ORD-2024-000121,02-Jul-24,CUS-00013,PRD-0093,21,23080,484680
ORD-2024-000124,02-Jul-24,CUS-01660,PRD-0102,12,17050,204600
ORD-2024-000125,02-Jul-24,CUS-01755,PRD-0105,7,41060,287420
ORD-2024-000126,02-Jul-24,CUS-00995,PRD-0109,16,30700,491200
ORD-2024-000130,02-Jul-24,CUS-02441,PRD-0114,10,15730,157300
ORD-2024-000139,02-Jul-24,CUS-00441,PRD-0128,43,20590,885370
ORD-2024-000144,02-Jul-24,CUS-00782,PRD-0143,5,48640,243200
ORD-2024-000145,02-Jul-24,CUS-01626,PRD-0143,5,48640,243200
ORD-2024-000147,02-Jul-24,CUS-01041,PRD-0151,3,42840,128520
ORD-2024-000157,03-Jul-24,CUS-00602,PRD-0002,13,5180,67340
ORD-2024-000167,03-Jul-24,CUS-00291,PRD-0041,9,6830,61470
ORD-2024-000171,03-Jul-24,CUS-00117,PRD-0057,3,18040,54120
ORD-2024-000173,03-Jul-24,CUS-01486,PRD-0072,9,42600,383400
ORD-2024-000177,03-Jul-24,CUS-01567,PRD-0086,11,28180,309980
ORD-2024-000182,03-Jul-24,CUS-00038,PRD-0090,9,37690,339210
ORD-2024-000190,03-Jul-24,CUS-00692,PRD-0104,7,17130,119910
ORD-2024-000191,03-Jul-24,CUS-00992,PRD-0111,9,12240,110160
ORD-2024-000194,03-Jul-24,CUS-02234,PRD-0125,17,15380,261460
ORD-2024-000205,03-Jul-24,CUS-01816,PRD-0151,6,42840,257040
ORD-2024-000206,03-Jul-24,CUS-02183,PRD-0151,6,42840,257040
ORD-2024-000207,03-Jul-24,CUS-00663,PRD-0151,6,42840,257040
ORD-2024-000216,03-Jul-24,CUS-01726,PRD-0165,7,23380,163660
ORD-2024-000231,04-Jul-24,CUS-00052,PRD-0035,9,13660,122940
ORD-2024-000232,04-Jul-24,CUS-00528,PRD-0037,10,25650,256500
ORD-2024-000235,04-Jul-24,CUS-01714,PRD-0058,4,17980,71920
ORD-2024-000244,04-Jul-24,CUS-00575,PRD-0076,2,28050,56100
ORD-2024-000247,04-Jul-24,CUS-00105,PRD-0081,18,42190,759420
ORD-2024-000255,04-Jul-24,CUS-00775,PRD-0090,3,37690,113070
ORD-2024-000258,04-Jul-24,CUS-01860,PRD-0098,7,15320,107240
ORD-2024-000263,04-Jul-24,CUS-00010,PRD-0100,20,20780,415600
ORD-2024-000269,04-Jul-24,CUS-00835,PRD-0117,7,17520,122640
ORD-2024-000269,04-Jul-24,CUS-00835,PRD-0117,7,17520,122640
ORD-2024-000275,04-Jul-24,CUS-01851,PRD-0125,3,15380,46140
ORD-2024-000279,04-Jul-24,CUS-02122,PRD-0131,1,31140,31140
ORD-2024-000281,04-Jul-24,CUS-02144,PRD-0136,8,54950,439600
ORD-2024-000302,05-Jul-24,CUS-01899,PRD-0004,3,4490,13470
ORD-2024-000304,05-Jul-24,CUS-00948,PRD-0011,4,17170,68680
ORD-2024-000311,05-Jul-24,CUS-00990,PRD-0039,1,14770,14770
ORD-2024-000316,05-Jul-24,CUS-01264,PRD-0057,4,18040,72160
ORD-2024-000325,05-Jul-24,CUS-00223,PRD-0072,3,42600,127800
ORD-2024-000328,05-Jul-24,CUS-00297,PRD-0077,2,31120,62240
ORD-2024-000333,05-Jul-24,CUS-01728,PRD-0083,10,23690,236900
ORD-2024-000339,05-Jul-24,CUS-01062,PRD-0090,3,37690,113070
ORD-2024-000342,05-Jul-24,CUS-00015,PRD-0093,11,23080,253880
ORD-2024-000349,05-Jul-24,CUS-01242,PRD-0116,12,17680,212160
ORD-2024-000354,05-Jul-24,CUS-00165,PRD-0121,5,26430,132150
ORD-2024-000361,05-Jul-24,CUS-01382,PRD-0148,17,27270,463590
