OrderID,OrderDate,CustomerID,ProductID,Qty,UOM,UnitPrice,LineTotal
ORD-2024-000014,2024-07-01,CUS-00510,prd-0039,0.21,CARTON,354480,74440.79999999999
ORD-2024-000027,2024-07-01,CUS-00551,prd-0079,2.1,CARTON,468700,984270.0
ORD-2024-000030,2024-07-01,CUS-01213,prd-0082,0.5,CARTON,368760,184380.0
ORD-2024-000040,2024-07-01,CUS-00572,prd-0090,0.42,CARTON,452280,189957.59999999998
ORD-2024-000044,2024-07-01,CUS-01791,prd-0098,1.0,CARTON,183840,183840.0
ORD-2024-000047,2024-07-01,CUS-02105,prd-0100,0.29,CARTON,498720,144628.8
ORD-2024-000056,2024-07-01,CUS-01350,prd-0120,24,EACH,14740,353760
ORD-2024-000058,2024-07-01,CUS-01686,prd-0121,1.5,CARTON,158580,237870.0
ORD-2024-000062,2024-07-01,CUS-02333,prd-0125,6,EACH,15380,92280
ORD-2024-000069,2024-07-01,CUS-01042,prd-0131,0.31,CARTON,1121040,347522.39999999997
ORD-2024-000071,2024-07-01,CUS-00737,prd-0145,0.79,CARTON,763200,602928.0
ORD-2024-000075,2024-07-01,CUS-01962,prd-0151,1.0,CARTON,171360,171360.0
ORD-2024-000076,2024-07-01,CUS-00935,prd-0151,7.0,CARTON,171360,1199520.0
ORD-2024-000096,2024-07-02,CUS-02208,prd-0019,0.04,CARTON,1499520,59980.8
ORD-2024-000098,2024-07-02,CUS-01107,prd-0039,0.46,CARTON,354480,163060.80000000002
ORD-2024-000100,2024-07-02,CUS-00136,prd-0040,0.17,CARTON,338400,57528.0
ORD-2024-000101,2024-07-02,CUS-01796,prd-0040,3,EACH,14100,42300
ORD-2024-000102,2024-07-02,CUS-01421,prd-0041,0.58,CARTON,81960,47536.799999999996
ORD-2024-000115,2024-07-02,CUS-00736,prd-0083,0.33,CARTON,568560,187624.80000000002
ORD-2024-000118,2024-07-02,CUS-00064,prd-0090,2.08,CARTON,452280,940742.3999999999
ORD-2024-000128,2024-07-02,CUS-00615,prd-0111,0.35,CARTON,587520,205632.0
ORD-2024-000133,2024-07-02,CUS-00063,prd-0121,1,EACH,26430,26430
ORD-2024-000137,2024-07-02,CUS-00053,prd-0127,5,EACH,16760,83800
ORD-2024-000138,2024-07-02,CUS-01734,prd-0128,0.67,CARTON,123540,82771.8
