OrderID,OrderDate,CustomerID,ProductID,ProductName,Quantity,UnitPrice,LineTotal
ORD-2024-000003,01/07/2024,CUS-02123,PRD-0004,Pepsi 50cl PET x12,27,4490,121230
ORD-2024-000013,01/07/2024,CUS-00581,PRD-0039,Grand Malt 33cl x24,15,14770,221550
ORD-2024-000019,01/07/2024,CUS-00206,PRD-0064,Devon Kings Oil 3L x4,3,36350,109050
ORD-2024-000021,01/07/2024,CUS-01405,PRD-0070,Ijebu Garri 2kg x10,21,19240,404040
ORD-2024-000026,01/07/2024,CUS-02432,PRD-0078,Quaker Oats 500g x12,23,33720,775560
ORD-2024-000031,01/07/2024,CUS-02254,PRD-0083,Tomato Mix Tin 400g x24,26,23690,615940
ORD-2024-000032,01/07/2024,CUS-01027,PRD-0083,Tomato Mix Tin 400g x24,3,23690,71070
ORD-2024-000033,01/07/2024,CUS-01610,PRD-0083,Tomato Mix Tin 400g x24,6,23690,142140
ORD-2024-000035,01/07/2024,CUS-01601,PRD-0084,Bonita Baked Beans 400g x24,7,27760,194320
ORD-2024-000039,01/07/2024,CUS-02230,PRD-0090,Dano Milk Refill 360g x12,3,37690,113070
ORD-2024-000057,01/07/2024,CUS-02034,PRD-0121,Mop & Bucket Set x6  ,23,26430,607890
ORD-2024-000080,01/07/2024,CUS-01105,PRD-0154,Dax Hair Pomade 213g x24,19,42470,806930
ORD-2024-000084,01/07/2024,CUS-02031,PRD-0160,Safeguard Soap 175g x48,3,32940,98820
ORD-2024-000106,02/07/2024,CUS-01046,PRD-0060,Geisha Mackerel 155g x50,6,57540,345240
ORD-2024-000107,02/07/2024,CUS-01275,PRD-0062,Gino Pepper & Onion 70g x50,3,17890,53670
ORD-2024-000114,02/07/2024,CUS-00160,PRD-0077,Checkers Custard 2kg x6,5,31120,155600
ORD-2024-000132,02/07/2024,CUS-00924,PRD-0118,Duck Toilet Gel 500ml x12,23,23110,531530
ORD-2024-000140,02/07/2024,CUS-01082,PRD-0132,Oral-B Toothpaste 140g x36,6,38360,230160
ORD-2024-000146,02/07/2024,CUS-01678,PRD-0151,Molfix Diapers 44pc x4  ,6,42840,257040
ORD-2024-000148,02/07/2024,CUS-00590,PRD-0153,Schick Razor Twin x48,12,24220,290640
ORD-2024-000153,02/07/2024,CUS-01940,PRD-0160,Safeguard Soap 175g x48,12,32940,395280
ORD-2024-000161,03/07/2024,CUS-01276,PRD-0023,Lipton Yellow Label 100s x12,3,16940,50820
ORD-2024-000165,03/07/2024,CUS-01675,PRD-0039,Grand Malt 33cl x24,1,14770,14770
ORD-2024-000175,03/07/2024,CUS-00049,PRD-0081,Kelloggs Cornflakes 500g x10,11,42190,464090
ORD-2024-000176,03/07/2024,CUS-02077,PRD-0085,Peak Butter 250g x24,14,32580,456120
ORD-2024-000181,03/07/2024,CUS-00681,PRD-0090,Dano Milk Refill 360g x12,12,37690,452280
ORD-2024-000185,03/07/2024,CUS-00722,PRD-0098,Mama Lemon 750ml x12,8,15320,122560
ORD-2024-000197,03/07/2024,CUS-02338,PRD-0141,Vaseline Blue Seal 250ml x24,3,38600,115800
ORD-2024-000202,03/07/2024,CUS-02393,PRD-0151,Molfix Diapers 44pc x4,3,42840,128520
ORD-2024-000209,03/07/2024,CUS-00591,PRD-0153,Schick Razor Twin x48,35,24220,847700
ORD-2024-000212,03/07/2024,CUS-01919,PRD-0161,Irish Spring 105g x48,2,32640,65280
ORD-2024-000215,03/07/2024,CUS-02293,PRD-0165,Robb Ointment 23ml x48,7,23380,163660
ORD-2024-000218,04/07/2024,CUS-00629,PRD-0004,Pepsi 50cl PET x12,15,4490,67350
ORD-2024-000225,04/07/2024,CUS-01132,PRD-0018,Peak Milk Powder 400g Tin x12,7,62570,437990
ORD-2024-000228,04/07/2024,CUS-00064,PRD-0026,Bigi Cola 60cl x12,11,4150,45650
ORD-2024-000239,04/07/2024,CUS-02163,PRD-0064,Devon Kings Oil 3L x4,1,36350,36350
ORD-2024-000251,04/07/2024,CUS-02003,PRD-0090,Dano Milk Refill 360g x12,11,37690,414590
ORD-2024-000268,04/07/2024,CUS-01032,PRD-0108,Rambo Insecticide 300ml x24,12,30750,369000
ORD-2024-000270,04/07/2024,CUS-00586,PRD-0118,Duck Toilet Gel 500ml x12,10,23110,231100
ORD-2024-000272,04/07/2024,CUS-00844,PRD-0123,Ola Candles 6pk x24,16,14410,230560
ORD-2024-000294,04/07/2024,CUS-00529,PRD-0161,Irish Spring 105g x48,11,32640,359040
ORD-2024-000295,04/07/2024,CUS-01494,PRD-0161,Irish Spring 105g x48,4,32640,130560
ORD-2024-000299,04/07/2024,CUS-01455,PRD-0166,Aboniki Balm 25g x48  ,4,25650,102600
ORD-2024-000301,05/07/2024,CUS-00081,PRD-0001,Coca-Cola 50cl PET x12,18,4970,89460
ORD-2024-000312,05/07/2024,CUS-00270,PRD-0040,Dubic Malt 33cl x24,3,14100,42300
ORD-2024-000321,05/07/2024,CUS-01210,PRD-0067,Knorr Chicken Cubes 50x8g x24  ,3,12380,37140
ORD-2024-000326,05/07/2024,CUS-00407,PRD-0076,Ola-Ola Poundo 0.9kg x12,11,28050,308550
ORD-2024-000331,05/07/2024,CUS-00338,PRD-0081,Kelloggs Cornflakes 500g x10,15,42190,632850
ORD-2024-000334,05/07/2024,CUS-01615,PRD-0085,Peak Butter 250g x24  ,12,32580,390960
ORD-2024-000348,05/07/2024,CUS-00639,PRD-0103,Dettol Liquid 500ml x12,3,38480,115440
ORD-2024-000351,05/07/2024,CUS-02482,PRD-0118,Duck Toilet Gel 500ml x12,6,23110,138660
ORD-2024-000352,05/07/2024,CUS-02443,PRD-0120,Scrubbing Brush Heavy x24,1,14740,14740
ORD-2024-000353,05/07/2024,CUS-01488,PRD-0121,Mop & Bucket Set x6,5,26430,132150
ORD-2024-000364,05/07/2024,CUS-00539,PRD-0151,Molfix Diapers 44pc x4,34,42840,1456560
ORD-2024-000369,05/07/2024,CUS-00037,PRD-0152,Gillette Blue II x48,10,24900,249000
ORD-2024-000370,05/07/2024,CUS-00242,PRD-0153,Schick Razor Twin x48,2,24220,48440
ORD-2024-000372,05/07/2024,CUS-01634,PRD-0156,ORS Relaxer Kit x12,13,58570,761410
ORD-2024-000385,06/07/2024,CUS-01761,PRD-0023,Lipton Yellow Label 100s x12,38,16940,643720
ORD-2024-000387,06/07/2024,CUS-01749,PRD-0040,Dubic Malt 33cl x24,2,14100,28200
ORD-2024-000388,06/07/2024,CUS-00916,PRD-0047,Golden Penny Semovita 1kg x10,5,19060,95300
ORD-2024-000391,06/07/2024,CUS-00391,PRD-0056,Indomie Hungry Man 200g x24,13,25020,325260
ORD-2024-000395,06/07/2024,CUS-01499,PRD-0061,Gino Tomato Paste 70g x50,8,16320,130560
ORD-2024-000405,06/07/2024,CUS-01015,PRD-0086,Blue Band Spread 450g x12,16,28180,450880
ORD-2024-000429,06/07/2024,CUS-02485,PRD-0151,Molfix Diapers 44pc x4,5,42840,214200
ORD-2024-000430,06/07/2024,CUS-00107,PRD-0153,Schick Razor Twin x48  ,7,24220,169540
ORD-2024-000436,06/07/2024,CUS-02204,PRD-0162,Cussons Baby Jelly 200ml x24,13,28900,375700
ORD-2024-000438,06/07/2024,CUS-01533,PRD-0163,Cussons Baby Powder 200g x24,2,27790,55580
ORD-2024-000439,06/07/2024,CUS-00716,PRD-0167,Cotton Buds 200pc x36,3,14020,42060
ORD-2024-000441,07/07/2024,CUS-01358,PRD-0002,Fanta Orange 50cl PET x12,8,5180,41440
ORD-2024-000447,07/07/2024,CUS-01180,PRD-0057,Honeywell Semolina 1kg x10,8,18040,144320
ORD-2024-000448,07/07/2024,CUS-01282,PRD-0063,Sonia Tomato Paste 70g x50  ,3,15070,45210
