OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,LineTotal
ORD-2024-000002,2024-07-01,CUS-00166,PRD-0004,4,4490,17960
ORD-2024-000006,2024-07-01,CUS-00561,PRD-0011,4,17170,68680
ORD-2024-000008,2024-07-01,CUS-02388,PRD-0016,7,42680,298760
ORD-2024-000011,2024-07-01,CUS-01649,PRD-0030,6,25250,151500
ORD-2024-000012,2024-07-01,CUS-00387,PRD-0037,8,25650,205200
ORD-2024-000015,2024-07-01,CUS-00363,PRD-0057,4,18040,72160
ORD-2024-000018,2024-07-01,CUS-00897,PRD-0064,4,36350,145400
ORD-2024-000022,2024-07-01,CUS-01847,PRD-0076,5,28050,140250
ORD-2024-000024,2024-07-01,CUS-00236,PRD-0078,20,33720,674400
ORD-2024-000025,2024-07-01,CUS-00763,PRD-0078,2,33720,67440
ORD-2024-000028,2024-07-01,CUS-00127,PRD-0080,8,23900,191200
ORD-2024-000029,2024-07-01,CUS-01292,PRD-0081,9,42190,379710
ORD-2024-000036,2024-07-01,CUS-02397,PRD-0086,8,28180,225440
ORD-2024-000037,2024-07-01,CUS-00656,PRD-0086,5,28180,140900
ORD-2024-000038,2024-07-01,CUS-01745,PRD-0090,16,37690,603040
ORD-2024-000043,2024-07-01,CUS-00535,PRD-0098,1,15320,15320
ORD-2024-000045,2024-07-01,CUS-02131,PRD-0100,10,20780,207800
ORD-2024-000046,2024-07-01,CUS-00998,PRD-0100,18,20780,374040
ORD-2024-000049,2024-07-01,CUS-00059,PRD-0105,8,41060,328480
ORD-2024-000050,2024-07-01,CUS-00555,PRD-0108,6,30750,184500
ORD-2024-000052,2024-07-01,CUS-01570,PRD-0111,12,12240,146880
ORD-2024-000054,2024-07-01,CUS-00943,PRD-0118,8,23110,184880
ORD-2024-000055,2024-07-01,CUS-01705,PRD-0120,15,14740,221100
ORD-2024-000059,2024-07-01,CUS-02196,PRD-0124,6,8790,52740
ORD-2024-000060,2024-07-01,CUS-00854,PRD-0124,4,8790,35160
ORD-2024-000061,2024-07-01,CUS-00127,PRD-0125,11,15380,169180
ORD-2024-000070,2024-07-01,CUS-01370,PRD-0142,3,52030,156090
