OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,LineTotal,Notes
ORD-2024-000005,2024-07-01,CUS-01500,PRD-0004,4,"4,490","17,960",
ORD-2024-000007,2024-07-01,CUS-00884,PRD-0012,4,"18,410","73,640",
ORD-2024-000009,2024-07-01,CUS-00022,PRD-0024,9,"9,800","88,200",
ORD-2024-000016,2024-07-01,CUS-00550,PRD-0057,4,"18,040","72,160",
ORD-2024-000017,2024-07-01,CUS-02386,PRD-0059,7,"50,810","355,670",
ORD-2024-000023,2024-07-01,CUS-00773,PRD-0077,9,"31,120","280,080",
ORD-2024-000034,2024-07-01,CUS-01709,PRD-0083,9,"23,690","213,210",
ORD-2024-000042,2024-07-01,CUS-02324,PRD-0090,10,"37,690","376,900",
ORD-2024-000048,2024-07-01,CUS-02047,PRD-0100,7,"20,780","145,460",
ORD-2024-000064,2024-07-01,CUS-01031,PRD-0125,5,"15,380","76,900",
ORD-2024-000065,2024-07-01,CUS-01164,PRD-0125,6,"15,380","92,280",
ORD-2024-000066,2024-07-01,CUS-00310,PRD-0126,4,"29,270","117,080",
ORD-2024-000068,2024-07-01,CUS-00463,PRD-0130,4,"13,600","54,400",
ORD-2024-000081,2024-07-01,CUS-02161,PRD-0155,4,"65,880","263,520",
ORD-2024-000086,2024-07-01,CUS-00044,PRD-0160,9,"32,940","296,460",
ORD-2024-000091,2024-07-01,CUS-00112,PRD-0170,6,"17,370","104,220",
ORD-2024-000093,2024-07-02,CUS-00626,PRD-0007,4,"17,070","68,280",
ORD-2024-000094,2024-07-02,CUS-00245,PRD-0011,6,"17,170","103,020",
ORD-2024-000108,2024-07-02,CUS-00549,PRD-0062,11,"17,890","196,790",
ORD-2024-000109,2024-07-02,CUS-01133,PRD-0062,7,"17,890","125,230",
ORD-2024-000116,2024-07-02,CUS-00047,PRD-0083,11,"23,690","260,590",
ORD-2024-000119,2024-07-02,CUS-00720,PRD-0090,2,"37,690","75,380",
ORD-2024-000122,2024-07-02,CUS-00790,PRD-0098,6,"15,320","91,920",
ORD-2024-000129,2024-07-02,CUS-00022,PRD-0113,9,"10,420","93,780",
ORD-2024-000134,2024-07-02,CUS-00968,PRD-0125,4,"15,380","61,520",
ORD-2024-000135,2024-07-02,CUS-01228,PRD-0125,7,"15,380","107,660",
ORD-2024-000149,2024-07-02,CUS-00190,PRD-0153,3,"24,220","72,660",
ORD-2024-000156,2024-07-02,CUS-01646,PRD-0166,12,"25,650","307,800",
ORD-2024-000158,2024-07-03,CUS-00996,PRD-0007,4,"17,070","68,280",
ORD-2024-000164,2024-07-03,CUS-01389,PRD-0027,5,"4,920","24,600",
ORD-2024-000172,2024-07-03,CUS-00845,PRD-0067,4,"12,380","49,520",
ORD-2024-000178,2024-07-03,CUS-00488,PRD-0086,7,"28,180","197,260",
ORD-2024-000183,2024-07-03,CUS-00531,PRD-0090,15,"37,690","565,350",
ORD-2024-000184,2024-07-03,CUS-00796,PRD-0090,8,"37,690","301,520",
ORD-2024-000189,2024-07-03,CUS-01663,PRD-0100,6,"20,780","124,680",
ORD-2024-000195,2024-07-03,CUS-00458,PRD-0130,5,"13,600","68,000",
ORD-2024-000198,2024-07-03,CUS-00205,PRD-0143,2,"48,640","97,280",
ORD-2024-000208,2024-07-03,CUS-01196,PRD-0151,42,"42,840","1,799,280",
ORD-2024-000220,2024-07-04,CUS-02251,PRD-0007,6,"17,070","102,420",
ORD-2024-000226,2024-07-04,CUS-01628,PRD-0024,8,"9,800","78,400",
ORD-2024-000227,2024-07-04,CUS-00151,PRD-0024,1,"9,800","9,800",
ORD-2024-000233,2024-07-04,CUS-02424,PRD-0037,2,"25,650","51,300",
ORD-2024-000234,2024-07-04,CUS-01544,PRD-0048,9,"16,870","151,830",
ORD-2024-000238,2024-07-04,CUS-01353,PRD-0063,6,"15,070","90,420",
ORD-2024-000240,2024-07-04,CUS-01055,PRD-0067,6,"12,380","74,280",
ORD-2024-000248,2024-07-04,CUS-01890,PRD-0081,4,"42,190","168,760",
ORD-2024-000264,2024-07-04,CUS-00468,PRD-0100,6,"20,780","124,680",
ORD-2024-000277,2024-07-04,CUS-02312,PRD-0126,10,"29,270","292,700",
ORD-2024-000278,2024-07-04,CUS-02424,PRD-0130,2,"13,600","27,200",
ORD-2024-000280,2024-07-04,CUS-01897,PRD-0132,9,"38,360","345,240",
ORD-2024-000287,2024-07-04,CUS-02290,PRD-0151,12,"42,840","514,080",
ORD-2024-000288,2024-07-04,CUS-02278,PRD-0151,9,"42,840","385,560",
ORD-2024-000289,2024-07-04,CUS-02474,PRD-0151,11,"42,840","471,240",
ORD-2024-000296,2024-07-04,CUS-01883,PRD-0161,9,"32,640","293,760",
ORD-2024-000303,2024-07-05,CUS-00783,PRD-0008,7,"16,360","114,520",
ORD-2024-000305,2024-07-05,CUS-01581,PRD-0011,18,"17,170","309,060",
ORD-2024-000310,2024-07-05,CUS-01511,PRD-0037,3,"25,650","76,950",
ORD-2024-000318,2024-07-05,CUS-00132,PRD-0061,4,"16,320","65,280",
ORD-2024-000319,2024-07-05,CUS-02067,PRD-0064,17,"36,350","617,950",
ORD-2024-000322,2024-07-05,CUS-01788,PRD-0068,2,"16,320","32,640",
ORD-2024-000324,2024-07-05,CUS-02052,PRD-0071,3,"17,380","52,140",
ORD-2024-000330,2024-07-05,CUS-01436,PRD-0080,2,"23,900","47,800",
ORD-2024-000340,2024-07-05,CUS-00456,PRD-0091,8,"27,010","216,080",
ORD-2024-000343,2024-07-05,CUS-01924,PRD-0098,6,"15,320","91,920",
ORD-2024-000344,2024-07-05,CUS-02357,PRD-0098,2,"15,320","30,640",
ORD-2024-000356,2024-07-05,CUS-01559,PRD-0125,9,"15,380","138,420",
ORD-2024-000357,2024-07-05,CUS-00929,PRD-0126,9,"29,270","263,430",
ORD-2024-000368,2024-07-05,CUS-02098,PRD-0151,12,"42,840","514,080",
ORD-2024-000374,2024-07-05,CUS-02312,PRD-0160,8,"32,940","263,520",
ORD-2024-000380,2024-07-05,CUS-00820,PRD-0166,28,"25,650","718,200",
ORD-2024-000381,2024-07-05,CUS-00403,PRD-0170,3,"17,370","52,110",
ORD-2024-000390,2024-07-06,CUS-00988,PRD-0051,8,"43,070","344,560",
ORD-2024-000394,2024-07-06,,PRD-0058,6,"17,980","107,880",
ORD-2024-000396,2024-07-06,CUS-02302,PRD-0064,23,"36,350","836,050",
ORD-2024-000397,2024-07-06,CUS-01347,PRD-0064,4,"36,350","145,400",
ORD-2024-000407,2024-07-06,CUS-02383,PRD-0086,4,"28,180","112,720",
ORD-2024-000408,2024-07-06,CUS-01840,PRD-0086,4,"28,180","112,720",
ORD-2024-000414,2024-07-06,CUS-01133,PRD-0094,1,"22,360","22,360",
ORD-2024-000415,2024-07-06,CUS-02047,PRD-0098,5,"15,320","76,600",
ORD-2024-000417,2024-07-06,CUS-01881,PRD-0108,15,"30,750","461,250",
ORD-2024-000421,2024-07-06,CUS-01821,PRD-0118,4,"23,110","92,440",
ORD-2024-000426,2024-07-06,CUS-01159,PRD-0138,6,"27,020","162,120",
ORD-2024-000433,2024-07-06,CUS-02451,PRD-0156,18,"58,570","1,054,260",
ORD-2024-000435,2024-07-06,CUS-01764,PRD-0161,3,"32,640","97,920",
ORD-2024-000440,2024-07-06,CUS-02261,PRD-0167,4,"14,020","56,080",
ORD-2024-000453,2024-07-07,CUS-01799,PRD-0090,11,"37,690","414,590",
ORD-2024-000464,2024-07-08,CUS-01057,PRD-0031,1,"36,660","36,660",
ORD-2024-000478,2024-07-08,CUS-00284,PRD-0077,9,"31,120","280,080",
ORD-2024-000479,2024-07-08,CUS-00849,PRD-0077,4,"31,120","124,480",
ORD-2024-000481,2024-07-08,CUS-02181,PRD-0082,2,"30,730","61,460",
ORD-2024-000490,2024-07-08,CUS-01372,PRD-0090,5,"37,690","188,450",
ORD-2024-000491,2024-07-08,CUS-01401,PRD-0090,16,"37,690","603,040",
ORD-2024-000497,2024-07-08,CUS-02119,PRD-0100,12,"20,780","249,360",
ORD-2024-000501,2024-07-08,CUS-01756,PRD-0108,9,"30,750","276,750",
ORD-2024-000504,2024-07-08,CUS-00805,PRD-0112,8,"15,500","124,000",
ORD-2024-000521,2024-07-08,CUS-01021,PRD-0143,2,"48,640","97,280",
ORD-2024-000522,2024-07-08,CUS-00515,PRD-0143,8,"48,640","389,120",
ORD-2024-000535,2024-07-08,CUS-01526,PRD-0161,12,"32,640","391,680",
ORD-2024-000540,2024-07-08,CUS-01422,PRD-0170,13,"17,370","225,810",
ORD-2024-000541,2024-07-09,CUS-02339,PRD-0004,3,"4,490","13,470",
ORD-2024-000542,2024-07-09,CUS-00404,PRD-0005,2,"3,110","6,220",
ORD-2024-000548,2024-07-09,CUS-00969,PRD-0023,16,"16,940","271,040",
ORD-2024-000552,2024-07-09,CUS-01174,PRD-0035,16,"13,660","218,560",
ORD-2024-000560,2024-07-09,,PRD-0074,2,"38,390","76,780",
ORD-2024-000566,2024-07-09,CUS-00988,PRD-0086,3,"28,180","84,540",
ORD-2024-000572,2024-07-09,CUS-00734,PRD-0098,13,"15,320","199,160",
ORD-2024-000577,2024-07-09,CUS-00914,PRD-0105,10,"41,060","410,600",
ORD-2024-000583,2024-07-09,CUS-02138,PRD-0121,10,"26,430","264,300",
ORD-2024-000595,2024-07-09,CUS-01930,PRD-0146,6,"34,820","208,920",
ORD-2024-000596,2024-07-09,CUS-01551,PRD-0148,5,"27,270","136,350",
ORD-2024-000601,2024-07-09,CUS-01205,PRD-0156,11,"58,570","644,270",
ORD-2024-000610,2024-07-10,CUS-00888,PRD-0008,8,"16,360","130,880",
ORD-2024-000613,2024-07-10,CUS-02272,PRD-0040,12,"14,100","169,200",
ORD-2024-000614,2024-07-10,CUS-02421,PRD-0046,3,"17,360","52,080",
ORD-2024-000620,2024-07-10,CUS-01174,PRD-0059,6,"50,810","304,860",
ORD-2024-000622,2024-07-10,CUS-00278,PRD-0060,7,"57,540","402,780",
ORD-2024-000625,2024-07-10,CUS-01930,PRD-0061,2,"16,320","32,640",
ORD-2024-000626,2024-07-10,CUS-01285,PRD-0061,5,"16,320","81,600",
ORD-2024-000636,2024-07-10,CUS-01104,PRD-0083,7,"23,690","165,830",
ORD-2024-000645,2024-07-10,CUS-00894,PRD-0090,6,"37,690","226,140",
ORD-2024-000646,2024-07-10,CUS-00885,PRD-0091,7,"27,010","189,070",
ORD-2024-000663,2024-07-10,CUS-00951,PRD-0139,8,"33,360","266,880",
ORD-2024-000671,2024-07-10,CUS-02399,PRD-0151,8,"42,840","342,720",
ORD-2024-000677,2024-07-10,CUS-01769,PRD-0161,14,"32,640","456,960",
ORD-2024-000685,2024-07-11,CUS-01385,PRD-0008,8,"16,360","130,880",
ORD-2024-000695,2024-07-11,CUS-00348,PRD-0057,11,"18,040","198,440",
ORD-2024-000698,2024-07-11,CUS-01022,PRD-0074,2,"38,390","76,780",
ORD-2024-000713,2024-07-11,CUS-00035,PRD-0090,5,"37,690","188,450",
ORD-2024-000725,2024-07-11,CUS-01228,PRD-0125,7,"15,380","107,660",
ORD-2024-000731,2024-07-11,CUS-00094,PRD-0142,7,"52,030","364,210",
ORD-2024-000733,2024-07-11,CUS-01769,PRD-0151,5,"42,840","214,200",
ORD-2024-000743,2024-07-11,CUS-01926,PRD-0166,7,"25,650","179,550",
ORD-2024-000750,2024-07-12,CUS-01968,PRD-0029,8,"11,070","88,560",
ORD-2024-000753,2024-07-12,CUS-01100,PRD-0036,8,"20,500","164,000",
ORD-2024-000754,2024-07-12,CUS-00042,PRD-0039,5,"14,770","73,850",
ORD-2024-000755,2024-07-12,CUS-00092,PRD-0046,6,"17,360","104,160",
ORD-2024-000756,2024-07-12,CUS-00471,PRD-0052,3,"43,630","130,890",
ORD-2024-000758,2024-07-12,CUS-01387,PRD-0056,9,"25,020","225,180",
ORD-2024-000767,2024-07-12,CUS-02496,PRD-0077,4,"31,120","124,480",
ORD-2024-000770,2024-07-12,CUS-00996,PRD-0080,4,"23,900","95,600",
ORD-2024-000771,2024-07-12,CUS-00190,PRD-0083,12,"23,690","284,280",
ORD-2024-000772,2024-07-12,CUS-00418,PRD-0084,11,"27,760","305,360",
ORD-2024-000783,2024-07-12,CUS-01089,PRD-0100,1,"20,780","20,780",
ORD-2024-000784,2024-07-12,CUS-02047,PRD-0100,1,"20,780","20,780",
ORD-2024-000809,2024-07-12,CUS-02046,PRD-0138,15,"27,020","405,300",
ORD-2024-000824,2024-07-12,CUS-01228,PRD-0160,2,"32,940","65,880",
ORD-2024-000828,2024-07-12,CUS-01383,PRD-0161,7,"32,640","228,480",
ORD-2024-000857,2024-07-13,CUS-00996,PRD-0090,4,"37,690","150,760",
ORD-2024-000858,2024-07-13,CUS-01732,PRD-0090,17,"37,690","640,730",
ORD-2024-000859,2024-07-13,CUS-00747,PRD-0097,5,"21,780","108,900",
ORD-2024-000875,2024-07-13,CUS-01471,PRD-0161,3,"32,640","97,920",
ORD-2024-000887,2024-07-14,CUS-02063,PRD-0109,10,"30,700","307,000",
ORD-2024-000888,2024-07-14,CUS-02355,PRD-0110,4,"30,350","121,400",
ORD-2024-000911,2024-07-15,CUS-01372,PRD-0037,4,"25,650","102,600",
ORD-2024-000912,2024-07-15,CUS-01440,PRD-0039,4,"14,770","59,080",
ORD-2024-000919,2024-07-15,CUS-00951,PRD-0060,5,"57,540","287,700",
ORD-2024-000926,2024-07-15,CUS-01221,PRD-0082,8,"30,730","245,840",
ORD-2024-000931,2024-07-15,CUS-00134,PRD-0086,8,"28,180","225,440",
ORD-2024-000932,2024-07-15,CUS-01872,PRD-0086,17,"28,180","479,060",
ORD-2024-000942,2024-07-15,CUS-02273,PRD-0090,4,"37,690","150,760",
ORD-2024-000943,2024-07-15,CUS-00222,PRD-0091,4,"27,010","108,040",
ORD-2024-000944,2024-07-15,CUS-00720,PRD-0098,8,"15,320","122,560",
ORD-2024-000951,2024-07-15,CUS-02214,PRD-0111,5,"12,240","61,200",
ORD-2024-000952,2024-07-15,CUS-00135,PRD-0117,9,"17,520","157,680",
ORD-2024-000954,2024-07-15,CUS-00092,PRD-0125,5,"15,380","76,900",
ORD-2024-000956,2024-07-15,CUS-01688,PRD-0136,3,"54,950","164,850",
ORD-2024-000965,2024-07-15,CUS-02083,PRD-0161,1,"32,640","32,640",
ORD-2024-000972,2024-07-15,CUS-00428,PRD-0169,1,"15,310","15,310",
ORD-2024-000977,2024-07-16,CUS-00039,PRD-0010,5,"16,050","80,250",
ORD-2024-000978,2024-07-16,CUS-01720,PRD-0011,6,"17,170","103,020",
ORD-2024-000984,2024-07-16,CUS-00478,PRD-0025,21,"5,090","106,890",
