CountDate,WarehouseID,ProductID,SystemQty,CountedQty,Variance
2024-07-31,WH-LAG1,PRD-0001,17,17,0
2024-07-31,WH-LAG2,PRD-0001,38,38,0
2024-07-31,WH-IBD,PRD-0001,18,18,0
2024-07-31,WH-ABJ,PRD-0001,26,26,0
2024-07-31,WH-PHC,PRD-0001,11,11,0
2024-07-31,WH-LAG1,PRD-0002,23,23,0
2024-07-31,WH-LAG2,PRD-0002,0,0,-1
2024-07-31,WH-IBD,PRD-0002,10,9,-1
2024-07-31,WH-ABJ,PRD-0002,39,39,0
2024-07-31,WH-PHC,PRD-0002,11,11,0
2024-07-31,WH-LAG1,PRD-0003,11,11,0
2024-07-31,WH-LAG2,PRD-0003,10,10,0
2024-07-31,WH-IBD,PRD-0003,10,10,0
2024-07-31,WH-ABJ,PRD-0003,6,6,0
2024-07-31,WH-PHC,PRD-0003,10,10,0
2024-07-31,WH-LAG1,PRD-0004,164,166,2
2024-07-31,WH-LAG2,PRD-0004,255,255,0
2024-07-31,WH-IBD,PRD-0004,147,147,0
2024-07-31,WH-ABJ,PRD-0004,280,280,0
2024-07-31,WH-PHC,PRD-0004,0,0,0
2024-07-31,WH-LAG1,PRD-0005,43,42,-1
2024-07-31,WH-LAG2,PRD-0005,28,28,0
2024-07-31,WH-IBD,PRD-0005,24,23,-1
2024-07-31,WH-ABJ,PRD-0005,43,43,0
2024-07-31,WH-PHC,PRD-0005,33,33,0
2024-07-31,WH-LAG1,PRD-0006,28,28,0
2024-07-31,WH-LAG2,PRD-0006,0,0,0
2024-07-31,WH-IBD,PRD-0006,11,11,0
2024-07-31,WH-ABJ,PRD-0006,15,15,0
2024-07-31,WH-PHC,PRD-0006,13,13,0
2024-07-31,WH-LAG1,PRD-0007,48,48,0
2024-07-31,WH-LAG2,PRD-0007,47,47,0
2024-07-31,WH-IBD,PRD-0007,5,5,0
2024-07-31,WH-ABJ,PRD-0007,108,108,0
2024-07-31,WH-PHC,PRD-0007,33,33,0
2024-07-31,WH-LAG1,PRD-0008,26,26,0
2024-07-31,WH-LAG2,PRD-0008,23,23,0
2024-07-31,WH-IBD,PRD-0008,9,9,0
2024-07-31,WH-ABJ,PRD-0008,61,61,0
2024-07-31,WH-PHC,PRD-0008,53,53,0
2024-07-31,WH-LAG1,PRD-0009,1,1,0
2024-07-31,WH-LAG2,PRD-0009,11,12,1
2024-07-31,WH-IBD,PRD-0009,10,10,0
2024-07-31,WH-ABJ,PRD-0009,13,13,0
2024-07-31,WH-PHC,PRD-0009,0,0,0
2024-07-31,WH-LAG1,PRD-0010,14,15,1
2024-07-31,WH-LAG2,PRD-0010,10,9,-1
2024-07-31,WH-IBD,PRD-0010,20,20,0
2024-07-31,WH-ABJ,PRD-0010,3,3,0
2024-07-31,WH-PHC,PRD-0010,5,5,0
2024-07-31,WH-LAG1,PRD-0011,59,58,-1
2024-07-31,WH-LAG2,PRD-0011,119,119,0
2024-07-31,WH-IBD,PRD-0011,103,103,0
2024-07-31,WH-ABJ,PRD-0011,51,51,0
2024-07-31,WH-PHC,PRD-0011,107,107,0
2024-07-31,WH-LAG1,PRD-0012,20,20,0
2024-07-31,WH-LAG2,PRD-0012,15,14,-1
2024-07-31,WH-IBD,PRD-0012,13,13,0
2024-07-31,WH-ABJ,PRD-0012,0,0,0
2024-07-31,WH-PHC,PRD-0012,11,11,0
2024-07-31,WH-LAG1,PRD-0013,8,8,0
2024-07-31,WH-LAG2,PRD-0013,10,10,0
2024-07-31,WH-IBD,PRD-0013,0,0,0
2024-07-31,WH-ABJ,PRD-0013,0,0,0
2024-07-31,WH-PHC,PRD-0013,2,2,0
2024-07-31,WH-LAG1,PRD-0014,10,10,0
2024-07-31,WH-LAG2,PRD-0014,10,10,0
2024-07-31,WH-IBD,PRD-0014,4,4,0
2024-07-31,WH-ABJ,PRD-0014,0,0,0
2024-07-31,WH-PHC,PRD-0014,10,10,0
2024-07-31,WH-LAG1,PRD-0015,16,16,0
2024-07-31,WH-LAG2,PRD-0015,10,10,0
2024-07-31,WH-IBD,PRD-0015,8,7,-1
2024-07-31,WH-ABJ,PRD-0015,3,3,0
2024-07-31,WH-PHC,PRD-0015,10,10,0
2024-07-31,WH-LAG1,PRD-0016,23,23,0
2024-07-31,WH-LAG2,PRD-0016,58,59,1
2024-07-31,WH-IBD,PRD-0016,44,43,-1
2024-07-31,WH-ABJ,PRD-0016,64,64,0
2024-07-31,WH-PHC,PRD-0016,62,62,0
2024-07-31,WH-LAG1,PRD-0017,26,26,0
2024-07-31,WH-LAG2,PRD-0017,14,14,0
2024-07-31,WH-IBD,PRD-0017,48,48,0
2024-07-31,WH-ABJ,PRD-0017,27,27,0
2024-07-31,WH-PHC,PRD-0017,13,13,0
2024-07-31,WH-LAG1,PRD-0018,62,62,0
2024-07-31,WH-LAG2,PRD-0018,100,102,2
2024-07-31,WH-IBD,PRD-0018,100,96,-4
2024-07-31,WH-ABJ,PRD-0018,106,106,0
2024-07-31,WH-PHC,PRD-0018,51,51,0
2024-07-31,WH-LAG1,PRD-0019,54,54,0
2024-07-31,WH-LAG2,PRD-0019,25,25,0
2024-07-31,WH-IBD,PRD-0019,20,20,0
2024-07-31,WH-ABJ,PRD-0019,8,8,0
2024-07-31,WH-PHC,PRD-0019,15,16,1
2024-07-31,WH-LAG1,PRD-0020,81,81,0
2024-07-31,WH-LAG2,PRD-0020,30,30,0
2024-07-31,WH-IBD,PRD-0020,16,16,0
2024-07-31,WH-ABJ,PRD-0020,31,31,0
2024-07-31,WH-PHC,PRD-0020,28,28,0
2024-07-31,WH-LAG1,PRD-0021,86,86,0
2024-07-31,WH-LAG2,PRD-0021,10,10,0
2024-07-31,WH-IBD,PRD-0021,10,10,0
2024-07-31,WH-ABJ,PRD-0021,10,10,0
2024-07-31,WH-PHC,PRD-0021,10,10,0
2024-07-31,WH-LAG1,PRD-0022,4,4,0
2024-07-31,WH-LAG2,PRD-0022,10,10,0
2024-07-31,WH-IBD,PRD-0022,7,7,0
2024-07-31,WH-ABJ,PRD-0022,4,4,0
2024-07-31,WH-PHC,PRD-0022,2,1,-1
2024-07-31,WH-LAG1,PRD-0023,62,62,0
2024-07-31,WH-LAG2,PRD-0023,0,0,0
2024-07-31,WH-IBD,PRD-0023,15,15,0
2024-07-31,WH-ABJ,PRD-0023,49,50,1
2024-07-31,WH-PHC,PRD-0023,19,19,0
2024-07-31,WH-LAG1,PRD-0024,58,57,-1
2024-07-31,WH-LAG2,PRD-0024,11,11,0
2024-07-31,WH-IBD,PRD-0024,5,5,0
2024-07-31,WH-ABJ,PRD-0024,16,16,0
2024-07-31,WH-PHC,PRD-0024,31,31,0
2024-07-31,WH-LAG1,PRD-0025,37,37,0
2024-07-31,WH-LAG2,PRD-0025,15,15,0
2024-07-31,WH-IBD,PRD-0025,3,3,0
2024-07-31,WH-ABJ,PRD-0025,6,6,0
2024-07-31,WH-PHC,PRD-0025,0,0,0
