TransferID,TransferDate,ProductID,FromWarehouse,ToWarehouse,Qty,TransitDays
TRF-00001,2024-07-10,PRD-0028,WH-LAG1,WH-IBD,15,2
TRF-00002,2024-07-30,PRD-0161,WH-PHC,WH-IBD,107,3
TRF-00003,2024-08-10,PRD-0145,WH-PHC,WH-ABJ,27,2
TRF-00004,2024-08-13,PRD-0122,WH-ABJ,WH-PHC,36,2
TRF-00005,2024-08-22,PRD-0082,WH-LAG1,WH-ABJ,37,2
TRF-00006,2024-08-24,PRD-0088,WH-ABJ,WH-PHC,14,3
TRF-00007,2024-08-28,PRD-0169,WH-LAG1,WH-IBD,34,2
TRF-00008,2024-09-03,PRD-0021,WH-LAG1,WH-LAG2,21,3
TRF-00009,2024-09-05,PRD-0135,WH-LAG1,WH-PHC,59,2
TRF-00010,2024-09-09,PRD-0024,WH-LAG2,WH-ABJ,11,2
TRF-00011,2024-09-12,PRD-0088,WH-PHC,WH-LAG2,16,2
TRF-00012,2024-09-13,PRD-0083,WH-LAG1,WH-PHC,75,2
TRF-00013,2024-09-18,PRD-0083,WH-LAG1,WH-IBD,48,3
TRF-00014,2024-09-20,PRD-0040,WH-PHC,WH-LAG1,16,3
TRF-00015,2024-09-22,PRD-0123,WH-PHC,WH-LAG2,21,2
TRF-00016,2024-09-29,PRD-0075,WH-LAG1,WH-IBD,15,2
TRF-00017,2024-09-30,PRD-0160,WH-LAG1,WH-IBD,114,3
TRF-00018,2024-10-04,PRD-0080,WH-LAG2,WH-LAG1,18,2
TRF-00019,2024-10-05,PRD-0043,WH-LAG2,WH-ABJ,18,3
TRF-00020,2024-10-08,PRD-0016,WH-LAG1,WH-PHC,56,2
TRF-00021,2024-10-11,PRD-0048,WH-LAG1,WH-IBD,27,3
TRF-00022,2024-10-17,PRD-0080,WH-LAG1,WH-ABJ,52,2
TRF-00023,2024-10-18,PRD-0061,WH-LAG1,WH-IBD,53,3
TRF-00024,2024-10-20,PRD-0059,WH-LAG2,WH-LAG1,17,2
TRF-00025,2024-10-21,PRD-0058,WH-LAG1,WH-ABJ,31,3
TRF-00026,2024-10-23,PRD-0135,WH-PHC,WH-LAG1,33,2
TRF-00027,2024-10-29,PRD-0134,WH-IBD,WH-PHC,13,2
TRF-00028,2024-11-06,PRD-0039,WH-LAG1,WH-PHC,35,3
TRF-00029,2024-11-07,PRD-0154,WH-ABJ,WH-LAG2,12,3
TRF-00030,2024-11-08,PRD-0160,WH-LAG1,WH-LAG2,63,2
TRF-00031,2024-11-09,PRD-0162,WH-LAG1,WH-ABJ,13,3
TRF-00032,2024-11-10,PRD-0089,WH-PHC,WH-ABJ,13,2
TRF-00033,2024-11-11,PRD-0136,WH-LAG2,WH-IBD,18,3
TRF-00034,2024-11-12,PRD-0046,WH-LAG1,WH-LAG2,23,2
TRF-00035,2024-11-14,PRD-0068,WH-LAG1,WH-LAG2,65,2
TRF-00036,2024-11-15,PRD-0146,WH-LAG1,WH-ABJ,21,2
TRF-00037,2024-11-21,PRD-0080,WH-LAG1,WH-LAG2,32,3
TRF-00038,2024-11-24,PRD-0158,WH-ABJ,WH-PHC,11,2
TRF-00039,2024-11-29,PRD-0166,WH-ABJ,WH-IBD,39,2
TRF-00040,2024-12-01,PRD-0064,WH-ABJ,WH-LAG2,26,2
TRF-00041,2024-12-02,PRD-0118,WH-LAG2,WH-PHC,40,3
TRF-00042,2024-12-03,PRD-0020,WH-LAG1,WH-ABJ,23,3
TRF-00043,2024-12-06,PRD-0025,WH-ABJ,WH-LAG1,17,3
TRF-00044,2024-12-14,PRD-0113,WH-LAG1,WH-LAG2,39,2
TRF-00045,2024-12-15,PRD-0115,WH-LAG2,WH-PHC,18,2
TRF-00046,2024-12-16,PRD-0077,WH-LAG1,WH-ABJ,123,2
TRF-00047,2024-12-19,PRD-0061,WH-LAG2,WH-LAG1,31,2
TRF-00048,2024-12-22,PRD-0018,WH-ABJ,WH-PHC,34,2
TRF-00049,2024-12-23,PRD-0018,WH-LAG1,WH-PHC,26,2
TRF-00050,2024-12-24,PRD-0040,WH-LAG1,WH-PHC,26,2
TRF-00051,2024-12-25,PRD-0062,WH-LAG1,WH-ABJ,29,2
TRF-00052,2024-12-30,PRD-0076,WH-LAG1,WH-IBD,28,3
TRF-00053,2025-01-13,PRD-0016,WH-ABJ,WH-IBD,33,3
TRF-00054,2025-01-17,PRD-0109,WH-LAG1,WH-IBD,48,2
TRF-00055,2025-01-24,PRD-0157,WH-LAG1,WH-ABJ,24,2
TRF-00056,2025-01-27,PRD-0136,WH-LAG2,WH-IBD,12,3
TRF-00057,2025-02-02,PRD-0131,WH-LAG1,WH-PHC,33,3
TRF-00058,2025-02-09,PRD-0077,WH-PHC,WH-IBD,68,2
TRF-00059,2025-02-13,PRD-0113,WH-LAG2,WH-LAG1,20,3
TRF-00060,2025-02-15,PRD-0143,WH-LAG1,WH-ABJ,25,2
TRF-00061,2025-02-17,PRD-0086,WH-LAG1,WH-LAG2,128,3
TRF-00062,2025-02-19,PRD-0008,WH-LAG2,WH-LAG1,11,3
TRF-00063,2025-02-24,PRD-0021,WH-IBD,WH-ABJ,16,2
TRF-00064,2025-02-26,PRD-0046,WH-ABJ,WH-LAG2,18,3
TRF-00065,2025-02-28,PRD-0152,WH-ABJ,WH-IBD,14,3
TRF-00066,2025-03-05,PRD-0077,WH-LAG1,WH-LAG2,116,2
TRF-00067,2025-03-06,PRD-0070,WH-LAG1,WH-ABJ,21,2
TRF-00068,2025-03-10,PRD-0004,WH-LAG2,WH-ABJ,67,2
TRF-00069,2025-03-13,PRD-0086,WH-LAG2,WH-PHC,85,3
TRF-00070,2025-03-17,PRD-0054,WH-ABJ,WH-LAG2,14,3
TRF-00071,2025-03-19,PRD-0130,WH-LAG1,WH-IBD,16,2
TRF-00072,2025-03-20,PRD-0008,WH-LAG1,WH-LAG2,27,3
TRF-00073,2025-03-23,PRD-0162,WH-LAG1,WH-LAG2,15,2
TRF-00074,2025-03-25,PRD-0113,WH-PHC,WH-ABJ,32,2
TRF-00075,2025-03-26,PRD-0009,WH-LAG1,WH-IBD,14,2
TRF-00076,2025-03-27,PRD-0033,WH-LAG1,WH-IBD,16,2
TRF-00077,2025-04-02,PRD-0007,WH-LAG1,WH-IBD,51,2
TRF-00078,2025-04-08,PRD-0072,WH-LAG2,WH-IBD,13,2
TRF-00079,2025-04-12,PRD-0116,WH-LAG1,WH-LAG2,21,2
TRF-00080,2025-04-15,PRD-0047,WH-LAG1,WH-IBD,30,3
TRF-00081,2025-04-17,PRD-0088,WH-ABJ,WH-LAG2,15,3
TRF-00082,2025-04-24,PRD-0124,WH-PHC,WH-ABJ,16,3
TRF-00083,2025-04-25,PRD-0011,WH-LAG1,WH-IBD,40,2
TRF-00084,2025-05-04,PRD-0148,WH-ABJ,WH-PHC,12,3
TRF-00085,2025-05-05,PRD-0115,WH-LAG1,WH-IBD,37,2
TRF-00086,2025-05-06,PRD-0062,WH-LAG1,WH-LAG2,52,2
TRF-00087,2025-05-08,PRD-0135,WH-LAG1,WH-LAG2,49,2
TRF-00088,2025-05-09,PRD-0020,WH-LAG1,WH-ABJ,26,2
TRF-00089,2025-05-13,PRD-0028,WH-LAG1,WH-PHC,18,3
TRF-00090,2025-05-14,PRD-0026,WH-LAG1,WH-LAG2,20,2
TRF-00091,2025-05-17,PRD-0127,WH-LAG1,WH-PHC,24,3
TRF-00092,2025-05-19,PRD-0153,WH-LAG1,WH-IBD,90,2
TRF-00093,2025-05-24,PRD-0041,WH-PHC,WH-LAG1,18,2
TRF-00094,2025-05-25,PRD-0161,WH-LAG1,WH-IBD,78,3
TRF-00095,2025-05-26,PRD-0142,WH-LAG1,WH-IBD,72,2
TRF-00096,2025-05-28,PRD-0157,WH-ABJ,WH-LAG2,25,2
TRF-00097,2025-05-30,PRD-0008,WH-ABJ,WH-PHC,16,2
TRF-00098,2025-06-02,PRD-0086,WH-LAG2,WH-LAG1,82,3
TRF-00099,2025-06-08,PRD-0070,WH-LAG2,WH-LAG1,14,3
TRF-00100,2025-06-10,PRD-0150,WH-ABJ,WH-LAG1,31,2
