FromWarehouse,ToWarehouse,CostPerTripNGN,AvgTransitDays
WH-LAG1,WH-LAG2,450000,1
WH-LAG1,WH-IBD,335000,1
WH-LAG1,WH-ABJ,631000,2
WH-LAG1,WH-PHC,509000,1
WH-LAG2,WH-LAG1,650000,3
WH-LAG2,WH-IBD,232000,3
WH-LAG2,WH-ABJ,559000,3
WH-LAG2,WH-PHC,403000,2
WH-IBD,WH-LAG1,197000,3
WH-IBD,WH-LAG2,645000,2
WH-IBD,WH-ABJ,530000,3
WH-IBD,WH-PHC,443000,2
WH-ABJ,WH-LAG1,214000,1
WH-ABJ,WH-LAG2,420000,3
WH-ABJ,WH-IBD,207000,2
WH-ABJ,WH-PHC,311000,2
WH-PHC,WH-LAG1,542000,1
WH-PHC,WH-LAG2,182000,2
WH-PHC,WH-IBD,372000,2
WH-PHC,WH-ABJ,582000,3
